billId,assessmentId,propertyId,countyId,taxYear,amountDue,dueDate,paidDate,status
TAX-000104,ASM-000104,PROP-00035,CTY-001,2025,4944,2025-11-01,2025-10-29,paid
TAX-000105,ASM-000105,PROP-00035,CTY-001,2026,5319,2026-11-01,,outstanding
TAX-000106,ASM-000106,PROP-00036,CTY-001,2024,5201,2024-11-01,2024-10-07,paid
TAX-000107,ASM-000107,PROP-00036,CTY-001,2025,5462,2025-11-01,2025-10-19,paid
TAX-000108,ASM-000108,PROP-00036,CTY-001,2026,5738,2026-11-01,,outstanding
TAX-000109,ASM-000109,PROP-00037,CTY-001,2024,4748,2024-11-01,2024-10-24,paid
TAX-000110,ASM-000110,PROP-00037,CTY-001,2025,4957,2025-11-01,2025-10-30,paid
TAX-000111,ASM-000111,PROP-00037,CTY-001,2026,5272,2026-11-01,,outstanding
TAX-000112,ASM-000112,PROP-00038,CTY-001,2024,5402,2024-11-01,2024-09-25,paid
TAX-000113,ASM-000113,PROP-00038,CTY-001,2025,5834,2025-11-01,2025-10-09,paid
TAX-000114,ASM-000114,PROP-00038,CTY-001,2026,6133,2026-11-01,,outstanding
TAX-000115,ASM-000115,PROP-00039,CTY-001,2024,5314,2024-11-01,2024-10-20,paid
TAX-000116,ASM-000116,PROP-00039,CTY-001,2025,5650,2025-11-01,2025-10-07,paid
TAX-000117,ASM-000117,PROP-00039,CTY-001,2026,6121,2026-11-01,,outstanding
TAX-000118,ASM-000118,PROP-00040,CTY-001,2024,5433,2024-11-01,2024-10-29,paid
TAX-000119,ASM-000119,PROP-00040,CTY-001,2025,5746,2025-11-01,2025-09-24,paid
TAX-000120,ASM-000120,PROP-00040,CTY-001,2026,5942,2026-11-01,,outstanding
TAX-000121,ASM-000121,PROP-00041,CTY-001,2024,4538,2024-11-01,2024-11-01,paid
TAX-000122,ASM-000122,PROP-00041,CTY-001,2025,4907,2025-11-01,2025-10-27,paid
TAX-000123,ASM-000123,PROP-00041,CTY-001,2026,5278,2026-11-01,,outstanding
TAX-000124,ASM-000124,PROP-00042,CTY-001,2024,5168,2024-11-01,2024-10-26,paid
TAX-000125,ASM-000125,PROP-00042,CTY-001,2025,5351,2025-11-01,2025-10-15,paid
TAX-000126,ASM-000126,PROP-00042,CTY-001,2026,5710,2026-11-01,,outstanding
TAX-000127,ASM-000127,PROP-00043,CTY-001,2024,5034,2024-11-01,2024-09-27,paid
TAX-000128,ASM-000128,PROP-00043,CTY-001,2025,5246,2025-11-01,2025-10-29,paid
TAX-000129,ASM-000129,PROP-00043,CTY-001,2026,5519,2026-11-01,,outstanding
TAX-000130,ASM-000130,PROP-00044,CTY-001,2024,4978,2024-11-01,2024-09-30,paid
TAX-000131,ASM-000131,PROP-00044,CTY-001,2025,5298,2025-11-01,2025-10-01,paid
TAX-000132,ASM-000132,PROP-00044,CTY-001,2026,5515,2026-11-01,,outstanding
TAX-000133,ASM-000133,PROP-00045,CTY-001,2024,4320,2024-11-01,2024-09-30,paid
TAX-000134,ASM-000134,PROP-00045,CTY-001,2025,4588,2025-11-01,2025-10-31,paid
TAX-000135,ASM-000135,PROP-00045,CTY-001,2026,4857,2026-11-01,,outstanding
TAX-000136,ASM-000136,PROP-00046,CTY-002,2024,3952,2024-11-01,2024-10-27,paid
TAX-000137,ASM-000137,PROP-00046,CTY-002,2025,4131,2025-11-01,2025-10-24,paid
TAX-000138,ASM-000138,PROP-00046,CTY-002,2026,4442,2026-11-01,,outstanding
TAX-000139,ASM-000139,PROP-00047,CTY-002,2024,4853,2024-11-01,2024-09-23,paid
TAX-000140,ASM-000140,PROP-00047,CTY-002,2025,5076,2025-11-01,2025-09-23,paid
TAX-000141,ASM-000141,PROP-00047,CTY-002,2026,5246,2026-11-01,,outstanding
TAX-000142,ASM-000142,PROP-00048,CTY-002,2024,4433,2024-11-01,2024-10-06,paid
TAX-000143,ASM-000143,PROP-00048,CTY-002,2025,4629,2025-11-01,2025-09-24,paid
TAX-000144,ASM-000144,PROP-00048,CTY-002,2026,4906,2026-11-01,,outstanding
TAX-000145,ASM-000145,PROP-00049,CTY-002,2024,3301,2024-11-01,2024-10-27,paid
TAX-000146,ASM-000146,PROP-00049,CTY-002,2025,3540,2025-11-01,2025-10-26,paid
TAX-000147,ASM-000147,PROP-00049,CTY-002,2026,3787,2026-11-01,,outstanding
TAX-000148,ASM-000148,PROP-00050,CTY-002,2024,4387,2024-11-01,2024-10-13,paid
TAX-000149,ASM-000149,PROP-00050,CTY-002,2025,4607,2025-11-01,2025-09-28,paid
TAX-000150,ASM-000150,PROP-00050,CTY-002,2026,4822,2026-11-01,,outstanding
TAX-000151,ASM-000151,PROP-00051,CTY-002,2024,4366,2024-11-01,2024-10-21,paid
TAX-000152,ASM-000152,PROP-00051,CTY-002,2025,4510,2025-11-01,2025-10-19,paid
TAX-000153,ASM-000153,PROP-00051,CTY-002,2026,4868,2026-11-01,,outstanding
TAX-000154,ASM-000154,PROP-00052,CTY-002,2024,3360,2024-11-01,2024-10-25,paid
TAX-000155,ASM-000155,PROP-00052,CTY-002,2025,3484,2025-11-01,2025-10-02,paid
TAX-000156,ASM-000156,PROP-00052,CTY-002,2026,3609,2026-11-01,,outstanding
TAX-000157,ASM-000157,PROP-00053,CTY-002,2024,3637,2024-11-01,2024-09-24,paid
TAX-000158,ASM-000158,PROP-00053,CTY-002,2025,3794,2025-11-01,2025-10-27,paid
TAX-000159,ASM-000159,PROP-00053,CTY-002,2026,4010,2026-11-01,,outstanding
TAX-000160,ASM-000160,PROP-00054,CTY-002,2024,4543,2024-11-01,2024-10-04,paid
TAX-000161,ASM-000161,PROP-00054,CTY-002,2025,4800,2025-11-01,2025-10-09,paid
TAX-000162,ASM-000162,PROP-00054,CTY-002,2026,5096,2026-11-01,,outstanding
TAX-000163,ASM-000163,PROP-00055,CTY-002,2024,4578,2024-11-01,2024-10-30,paid
TAX-000164,ASM-000164,PROP-00055,CTY-002,2025,4783,2025-11-01,2025-10-12,paid
TAX-000165,ASM-000165,PROP-00055,CTY-002,2026,5118,2026-11-01,,outstanding
TAX-000166,ASM-000166,PROP-00056,CTY-002,2024,4013,2024-11-01,2024-09-29,paid
TAX-000167,ASM-000167,PROP-00056,CTY-002,2025,4301,2025-11-01,2025-10-15,paid
TAX-000168,ASM-000168,PROP-00056,CTY-002,2026,4468,2026-11-01,,outstanding
TAX-000169,ASM-000169,PROP-00057,CTY-002,2024,5038,2024-11-01,2024-10-24,paid
TAX-000170,ASM-000170,PROP-00057,CTY-002,2025,5329,2025-11-01,2025-09-27,paid
TAX-000171,ASM-000171,PROP-00057,CTY-002,2026,5549,2026-11-01,,outstanding
TAX-000172,ASM-000172,PROP-00058,CTY-002,2024,3786,2024-11-01,2024-10-29,paid
TAX-000173,ASM-000173,PROP-00058,CTY-002,2025,4011,2025-11-01,2025-11-01,paid
TAX-000174,ASM-000174,PROP-00058,CTY-002,2026,4250,2026-11-01,,outstanding
TAX-000175,ASM-000175,PROP-00059,CTY-002,2024,3916,2024-11-01,2024-10-14,paid
TAX-000176,ASM-000176,PROP-00059,CTY-002,2025,4165,2025-11-01,2025-10-14,paid
TAX-000177,ASM-000177,PROP-00059,CTY-002,2026,4390,2026-11-01,,outstanding
TAX-000178,ASM-000178,PROP-00060,CTY-002,2024,4832,2024-11-01,2024-10-11,paid
TAX-000179,ASM-000179,PROP-00060,CTY-002,2025,5174,2025-11-01,2025-10-20,paid
TAX-000180,ASM-000180,PROP-00060,CTY-002,2026,5565,2026-11-01,,outstanding
TAX-000181,ASM-000181,PROP-00061,CTY-002,2024,4544,2024-11-01,2024-10-10,paid
TAX-000182,ASM-000182,PROP-00061,CTY-002,2025,4764,2025-11-01,2025-10-23,paid
TAX-000183,ASM-000183,PROP-00061,CTY-002,2026,4973,2026-11-01,,outstanding
TAX-000184,ASM-000184,PROP-00062,CTY-002,2024,4225,2024-11-01,2024-10-29,paid
TAX-000185,ASM-000185,PROP-00062,CTY-002,2025,4501,2025-11-01,2025-10-16,paid
TAX-000186,ASM-000186,PROP-00062,CTY-002,2026,4841,2026-11-01,,outstanding
TAX-000187,ASM-000187,PROP-00063,CTY-002,2024,3794,2024-11-01,2024-10-01,paid
TAX-000188,ASM-000188,PROP-00063,CTY-002,2025,4100,2025-11-01,2025-10-10,paid
TAX-000189,ASM-000189,PROP-00063,CTY-002,2026,4265,2026-11-01,,outstanding
TAX-000190,ASM-000190,PROP-00064,CTY-002,2024,4176,2024-11-01,2024-10-04,paid
TAX-000191,ASM-000191,PROP-00064,CTY-002,2025,4397,2025-11-01,2025-09-27,paid
TAX-000192,ASM-000192,PROP-00064,CTY-002,2026,4644,2026-11-01,,outstanding
TAX-000193,ASM-000193,PROP-00065,CTY-002,2024,4361,2024-11-01,2024-10-20,paid
TAX-000194,ASM-000194,PROP-00065,CTY-002,2025,4537,2025-11-01,2025-10-01,paid
TAX-000195,ASM-000195,PROP-00065,CTY-002,2026,4874,2026-11-01,,outstanding
TAX-000196,ASM-000196,PROP-00066,CTY-002,2024,5119,2024-11-01,2024-10-14,paid
TAX-000197,ASM-000197,PROP-00066,CTY-002,2025,5312,2025-11-01,2025-10-16,paid
TAX-000198,ASM-000198,PROP-00066,CTY-002,2026,5594,2026-11-01,,outstanding
TAX-000199,ASM-000199,PROP-00067,CTY-002,2024,4194,2024-11-01,2024-10-19,paid
TAX-000200,ASM-000200,PROP-00067,CTY-002,2025,4525,2025-11-01,2025-10-03,paid
TAX-000201,ASM-000201,PROP-00067,CTY-002,2026,4782,2026-11-01,,outstanding
TAX-000202,ASM-000202,PROP-00068,CTY-002,2024,3805,2024-11-01,2024-09-25,paid
TAX-000203,ASM-000203,PROP-00068,CTY-002,2025,4051,2025-11-01,2025-10-25,paid
TAX-000204,ASM-000204,PROP-00068,CTY-002,2026,4375,2026-11-01,,outstanding
TAX-000205,ASM-000205,PROP-00069,CTY-002,2024,3806,2024-11-01,2024-10-05,paid
TAX-000206,ASM-000206,PROP-00069,CTY-002,2025,4024,2025-11-01,2025-10-03,paid
TAX-000207,ASM-000207,PROP-00069,CTY-002,2026,4346,2026-11-01,,outstanding
TAX-000208,ASM-000208,PROP-00070,CTY-002,2024,4055,2024-11-01,2024-10-06,paid
TAX-000209,ASM-000209,PROP-00070,CTY-002,2025,4197,2025-11-01,2025-10-16,paid
TAX-000210,ASM-000210,PROP-00070,CTY-002,2026,4485,2026-11-01,,outstanding
TAX-000211,ASM-000211,PROP-00071,CTY-002,2024,3905,2024-11-01,2024-10-03,paid
TAX-000212,ASM-000212,PROP-00071,CTY-002,2025,4048,2025-11-01,2025-09-23,paid
TAX-000213,ASM-000213,PROP-00071,CTY-002,2026,4245,2026-11-01,,outstanding
TAX-000214,ASM-000214,PROP-00072,CTY-002,2024,3913,2024-11-01,2024-10-04,paid
TAX-000215,ASM-000215,PROP-00072,CTY-002,2025,4061,2025-11-01,2025-10-05,paid
TAX-000216,ASM-000216,PROP-00072,CTY-002,2026,4371,2026-11-01,,outstanding
TAX-000217,ASM-000217,PROP-00073,CTY-002,2024,3585,2024-11-01,2024-10-03,paid
TAX-000218,ASM-000218,PROP-00073,CTY-002,2025,3791,2025-11-01,2025-10-18,paid
TAX-000219,ASM-000219,PROP-00073,CTY-002,2026,4090,2026-11-01,,outstanding
TAX-000220,ASM-000220,PROP-00074,CTY-002,2024,4342,2024-11-01,2024-09-23,paid
TAX-000221,ASM-000221,PROP-00074,CTY-002,2025,4586,2025-11-01,2025-09-27,paid
TAX-000222,ASM-000222,PROP-00074,CTY-002,2026,4876,2026-11-01,,outstanding
TAX-000223,ASM-000223,PROP-00075,CTY-002,2024,3592,2024-11-01,2024-10-18,paid
TAX-000224,ASM-000224,PROP-00075,CTY-002,2025,3721,2025-11-01,2025-09-29,paid
TAX-000225,ASM-000225,PROP-00075,CTY-002,2026,3989,2026-11-01,,outstanding
TAX-000226,ASM-000226,PROP-00076,CTY-002,2024,4537,2024-11-01,2024-10-19,paid
TAX-000227,ASM-000227,PROP-00076,CTY-002,2025,4775,2025-11-01,2025-10-22,paid
TAX-000228,ASM-000228,PROP-00076,CTY-002,2026,5038,2026-11-01,,outstanding
TAX-000229,ASM-000229,PROP-00077,CTY-002,2024,4233,2024-11-01,2024-09-24,paid
TAX-000230,ASM-000230,PROP-00077,CTY-002,2025,4479,2025-11-01,2025-10-01,paid
TAX-000231,ASM-000231,PROP-00077,CTY-002,2026,4654,2026-11-01,,outstanding
TAX-000232,ASM-000232,PROP-00078,CTY-002,2024,4322,2024-11-01,2024-09-29,paid
TAX-000233,ASM-000233,PROP-00078,CTY-002,2025,4608,2025-11-01,2025-10-26,paid
TAX-000234,ASM-000234,PROP-00078,CTY-002,2026,4806,2026-11-01,,outstanding
TAX-000235,ASM-000235,PROP-00079,CTY-002,2024,4509,2024-11-01,2024-10-18,paid
TAX-000236,ASM-000236,PROP-00079,CTY-002,2025,4862,2025-11-01,2025-09-30,paid
TAX-000237,ASM-000237,PROP-00079,CTY-002,2026,5206,2026-11-01,,outstanding
TAX-000238,ASM-000238,PROP-00080,CTY-002,2024,3662,2024-11-01,2024-10-03,paid
TAX-000239,ASM-000239,PROP-00080,CTY-002,2025,3843,2025-11-01,2025-10-12,paid
TAX-000240,ASM-000240,PROP-00080,CTY-002,2026,4053,2026-11-01,,outstanding
TAX-000241,ASM-000241,PROP-00081,CTY-002,2024,4596,2024-11-01,2024-10-15,paid
TAX-000242,ASM-000242,PROP-00081,CTY-002,2025,4941,2025-11-01,2025-11-01,paid
TAX-000243,ASM-000243,PROP-00081,CTY-002,2026,5253,2026-11-01,,outstanding
TAX-000244,ASM-000244,PROP-00082,CTY-002,2024,4817,2024-11-01,2024-10-26,paid
TAX-000245,ASM-000245,PROP-00082,CTY-002,2025,5158,2025-11-01,2025-10-30,paid
TAX-000246,ASM-000246,PROP-00082,CTY-002,2026,5551,2026-11-01,,outstanding
TAX-000247,ASM-000247,PROP-00083,CTY-002,2024,4978,2024-11-01,2024-10-30,paid
TAX-000248,ASM-000248,PROP-00083,CTY-002,2025,5320,2025-11-01,2025-09-28,paid
TAX-000249,ASM-000249,PROP-00083,CTY-002,2026,5745,2026-11-01,,outstanding
TAX-000250,ASM-000250,PROP-00084,CTY-002,2024,3645,2024-11-01,2024-09-22,paid
TAX-000251,ASM-000251,PROP-00084,CTY-002,2025,3839,2025-11-01,2025-10-12,paid
TAX-000252,ASM-000252,PROP-00084,CTY-002,2026,3970,2026-11-01,,outstanding
TAX-000253,ASM-000253,PROP-00085,CTY-002,2024,3865,2024-11-01,2024-09-25,paid
TAX-000254,ASM-000254,PROP-00085,CTY-002,2025,4128,2025-11-01,2025-10-24,paid
TAX-000255,ASM-000255,PROP-00085,CTY-002,2026,4386,2026-11-01,,outstanding
TAX-000256,ASM-000256,PROP-00086,CTY-002,2024,4034,2024-11-01,2024-10-05,paid
TAX-000257,ASM-000257,PROP-00086,CTY-002,2025,4288,2025-11-01,2025-10-11,paid
TAX-000258,ASM-000258,PROP-00086,CTY-002,2026,4538,2026-11-01,,outstanding
TAX-000259,ASM-000259,PROP-00087,CTY-003,2024,4065,2024-11-01,2024-10-17,paid
TAX-000260,ASM-000260,PROP-00087,CTY-003,2025,4226,2025-11-01,2025-10-30,paid
TAX-000261,ASM-000261,PROP-00087,CTY-003,2026,4520,2026-11-01,,outstanding
TAX-000262,ASM-000262,PROP-00088,CTY-003,2024,3983,2024-11-01,2024-10-03,paid
TAX-000263,ASM-000263,PROP-00088,CTY-003,2025,4204,2025-11-01,2025-10-19,paid
TAX-000264,ASM-000264,PROP-00088,CTY-003,2026,4423,2026-11-01,,outstanding
TAX-000265,ASM-000265,PROP-00089,CTY-003,2024,4066,2024-11-01,2024-10-21,paid
TAX-000266,ASM-000266,PROP-00089,CTY-003,2025,4184,2025-11-01,2025-10-16,paid
TAX-000267,ASM-000267,PROP-00089,CTY-003,2026,4336,2026-11-01,,outstanding
TAX-000268,ASM-000268,PROP-00090,CTY-003,2024,3622,2024-11-01,2024-10-19,paid
TAX-000269,ASM-000269,PROP-00090,CTY-003,2025,3827,2025-11-01,2025-10-06,paid
TAX-000270,ASM-000270,PROP-00090,CTY-003,2026,3998,2026-11-01,,outstanding
TAX-000271,ASM-000271,PROP-00091,CTY-003,2024,3147,2024-11-01,2024-10-11,paid
TAX-000272,ASM-000272,PROP-00091,CTY-003,2025,3262,2025-11-01,2025-11-01,paid
TAX-000273,ASM-000273,PROP-00091,CTY-003,2026,3465,2026-11-01,,outstanding
TAX-000274,ASM-000274,PROP-00092,CTY-003,2024,3473,2024-11-01,2024-10-07,paid
TAX-000275,ASM-000275,PROP-00092,CTY-003,2025,3603,2025-11-01,2025-10-15,paid
TAX-000276,ASM-000276,PROP-00092,CTY-003,2026,3820,2026-11-01,,outstanding
TAX-000277,ASM-000277,PROP-00093,CTY-003,2024,4428,2024-11-01,2024-10-28,paid
TAX-000278,ASM-000278,PROP-00093,CTY-003,2025,4641,2025-11-01,2025-10-24,paid
TAX-000279,ASM-000279,PROP-00093,CTY-003,2026,4927,2026-11-01,,outstanding
TAX-000280,ASM-000280,PROP-00094,CTY-003,2024,4647,2024-11-01,2024-10-25,paid
TAX-000281,ASM-000281,PROP-00094,CTY-003,2025,4801,2025-11-01,2025-10-01,paid
TAX-000282,ASM-000282,PROP-00094,CTY-003,2026,5048,2026-11-01,,outstanding
TAX-000283,ASM-000283,PROP-00095,CTY-003,2024,3940,2024-11-01,2024-10-22,paid
TAX-000284,ASM-000284,PROP-00095,CTY-003,2025,4115,2025-11-01,2025-10-02,paid
TAX-000285,ASM-000285,PROP-00095,CTY-003,2026,4332,2026-11-01,,outstanding
TAX-000286,ASM-000286,PROP-00096,CTY-003,2024,3541,2024-11-01,2024-09-27,paid
