assessmentId,propertyId,countyId,taxYear,assessedValue,priorAssessedValue,changePct,appealStatus,appealSavings
ASM-000140,PROP-00047,CTY-001,2025,434163,407621,0.0651,none,0
ASM-000141,PROP-00047,CTY-001,2026,452103,434163,0.0413,none,0
ASM-000142,PROP-00048,CTY-001,2024,351351,,0.0,none,0
ASM-000143,PROP-00048,CTY-001,2025,364385,351351,0.0371,none,0
ASM-000144,PROP-00048,CTY-001,2026,384428,364385,0.055,none,0
ASM-000145,PROP-00049,CTY-001,2024,466547,,0.0,none,0
ASM-000146,PROP-00049,CTY-001,2025,493641,466547,0.0581,none,0
ASM-000147,PROP-00049,CTY-001,2026,520552,493641,0.0545,none,0
ASM-000148,PROP-00050,CTY-001,2024,452261,,0.0,none,0
ASM-000149,PROP-00050,CTY-001,2025,472366,452261,0.0445,none,0
ASM-000150,PROP-00050,CTY-001,2026,502866,472366,0.0646,none,0
ASM-000151,PROP-00051,CTY-002,2024,303777,,0.0,none,0
ASM-000152,PROP-00051,CTY-002,2025,317772,303777,0.0461,none,0
ASM-000153,PROP-00051,CTY-002,2026,333204,317772,0.0486,none,0
ASM-000154,PROP-00052,CTY-002,2024,305168,,0.0,none,0
ASM-000155,PROP-00052,CTY-002,2025,324100,305168,0.062,none,0
ASM-000156,PROP-00052,CTY-002,2026,347563,324100,0.0724,none,0
ASM-000157,PROP-00053,CTY-002,2024,319786,,0.0,none,0
ASM-000158,PROP-00053,CTY-002,2025,330570,319786,0.0337,none,0
ASM-000159,PROP-00053,CTY-002,2026,348673,330570,0.0548,none,0
ASM-000160,PROP-00054,CTY-002,2024,428009,,0.0,none,0
ASM-000161,PROP-00054,CTY-002,2025,456565,428009,0.0667,none,0
ASM-000162,PROP-00054,CTY-002,2026,475389,456565,0.0412,none,0
ASM-000163,PROP-00055,CTY-002,2024,404001,,0.0,none,0
ASM-000164,PROP-00055,CTY-002,2025,436436,404001,0.0803,none,0
ASM-000165,PROP-00055,CTY-002,2026,470022,436436,0.077,none,0
ASM-000166,PROP-00056,CTY-002,2024,319533,,0.0,none,0
ASM-000167,PROP-00056,CTY-002,2025,333346,319533,0.0432,none,0
ASM-000168,PROP-00056,CTY-002,2026,345771,333346,0.0373,none,0
ASM-000169,PROP-00057,CTY-002,2024,325398,,0.0,none,0
ASM-000170,PROP-00057,CTY-002,2025,347872,325398,0.0691,none,0
ASM-000171,PROP-00057,CTY-002,2026,371081,347872,0.0667,none,0
ASM-000172,PROP-00058,CTY-002,2024,313171,,0.0,none,0
ASM-000173,PROP-00058,CTY-002,2025,324952,313171,0.0376,none,0
ASM-000174,PROP-00058,CTY-002,2026,351096,324952,0.0805,none,0
ASM-000175,PROP-00059,CTY-002,2024,372362,,0.0,none,0
ASM-000176,PROP-00059,CTY-002,2025,395192,372362,0.0613,none,0
ASM-000177,PROP-00059,CTY-002,2026,415108,395192,0.0504,none,0
ASM-000178,PROP-00060,CTY-002,2024,389367,,0.0,none,0
ASM-000179,PROP-00060,CTY-002,2025,412094,389367,0.0584,none,0
ASM-000180,PROP-00060,CTY-002,2026,431273,412094,0.0465,none,0
ASM-000181,PROP-00061,CTY-002,2024,412687,,0.0,none,0
ASM-000182,PROP-00061,CTY-002,2025,431391,412687,0.0453,none,0
ASM-000183,PROP-00061,CTY-002,2026,461429,431391,0.0696,none,0
ASM-000184,PROP-00062,CTY-002,2024,384163,,0.0,none,0
ASM-000185,PROP-00062,CTY-002,2025,399161,384163,0.039,none,0
ASM-000186,PROP-00062,CTY-002,2026,420284,399161,0.0529,none,0
ASM-000187,PROP-00063,CTY-002,2024,357271,,0.0,none,0
ASM-000188,PROP-00063,CTY-002,2025,377820,357271,0.0575,none,0
ASM-000189,PROP-00063,CTY-002,2026,402055,377820,0.0641,none,0
ASM-000190,PROP-00064,CTY-002,2024,352936,,0.0,none,0
ASM-000191,PROP-00064,CTY-002,2025,381588,352936,0.0812,none,0
ASM-000192,PROP-00064,CTY-002,2026,402568,381588,0.055,none,0
ASM-000193,PROP-00065,CTY-002,2024,387415,,0.0,none,0
ASM-000194,PROP-00065,CTY-002,2025,416741,387415,0.0757,none,0
ASM-000195,PROP-00065,CTY-002,2026,446883,416741,0.0723,none,0
ASM-000196,PROP-00066,CTY-002,2024,292241,,0.0,none,0
ASM-000197,PROP-00066,CTY-002,2025,304681,292241,0.0426,none,0
ASM-000198,PROP-00066,CTY-002,2026,327747,304681,0.0757,none,0
ASM-000199,PROP-00067,CTY-002,2024,345915,,0.0,none,0
ASM-000200,PROP-00067,CTY-002,2025,369704,345915,0.0688,none,0
ASM-000201,PROP-00067,CTY-002,2026,384753,369704,0.0407,none,0
ASM-000202,PROP-00068,CTY-002,2024,388441,,0.0,none,0
ASM-000203,PROP-00068,CTY-002,2025,415892,388441,0.0707,none,0
ASM-000204,PROP-00068,CTY-002,2026,443354,415892,0.066,none,0
ASM-000205,PROP-00069,CTY-002,2024,303246,,0.0,none,0
ASM-000206,PROP-00069,CTY-002,2025,325753,303246,0.0742,none,0
ASM-000207,PROP-00069,CTY-002,2026,351334,325753,0.0785,none,0
ASM-000208,PROP-00070,CTY-002,2024,286065,,0.0,none,0
ASM-000209,PROP-00070,CTY-002,2025,298843,286065,0.0447,none,0
ASM-000210,PROP-00070,CTY-002,2026,318468,298843,0.0657,none,0
ASM-000211,PROP-00071,CTY-002,2024,351259,,0.0,none,0
ASM-000212,PROP-00071,CTY-002,2025,377254,351259,0.074,none,0
ASM-000213,PROP-00071,CTY-002,2026,404512,377254,0.0723,none,0
ASM-000214,PROP-00072,CTY-002,2024,367927,,0.0,none,0
ASM-000215,PROP-00072,CTY-002,2025,394871,367927,0.0732,none,0
ASM-000216,PROP-00072,CTY-002,2026,416871,394871,0.0557,none,0
ASM-000217,PROP-00073,CTY-002,2024,372231,,0.0,none,0
ASM-000218,PROP-00073,CTY-002,2025,398578,372231,0.0708,none,0
ASM-000219,PROP-00073,CTY-002,2026,417594,398578,0.0477,none,0
ASM-000220,PROP-00074,CTY-002,2024,321192,,0.0,none,0
ASM-000221,PROP-00074,CTY-002,2025,341732,321192,0.0639,none,0
ASM-000222,PROP-00074,CTY-002,2026,366710,341732,0.0731,none,0
ASM-000223,PROP-00075,CTY-002,2024,331048,,0.0,none,0
ASM-000224,PROP-00075,CTY-002,2025,356791,331048,0.0778,none,0
ASM-000225,PROP-00075,CTY-002,2026,380967,356791,0.0678,none,0
ASM-000226,PROP-00076,CTY-002,2024,346346,,0.0,none,0
ASM-000227,PROP-00076,CTY-002,2025,364323,346346,0.0519,none,0
ASM-000228,PROP-00076,CTY-002,2026,391724,364323,0.0752,none,0
ASM-000229,PROP-00077,CTY-002,2024,332816,,0.0,none,0
ASM-000230,PROP-00077,CTY-002,2025,347287,332816,0.0435,none,0
ASM-000231,PROP-00077,CTY-002,2026,365393,347287,0.0521,none,0
ASM-000232,PROP-00078,CTY-002,2024,347050,,0.0,none,0
ASM-000233,PROP-00078,CTY-002,2025,362958,347050,0.0458,none,0
ASM-000234,PROP-00078,CTY-002,2026,391224,362958,0.0779,none,0
ASM-000235,PROP-00079,CTY-002,2024,305722,,0.0,none,0
ASM-000236,PROP-00079,CTY-002,2025,319830,305722,0.0461,none,0
ASM-000237,PROP-00079,CTY-002,2026,339362,319830,0.0611,none,0
ASM-000238,PROP-00080,CTY-002,2024,376703,,0.0,none,0
ASM-000239,PROP-00080,CTY-002,2025,389984,376703,0.0353,none,0
ASM-000240,PROP-00080,CTY-002,2026,419756,389984,0.0763,none,0
ASM-000241,PROP-00081,CTY-002,2024,320733,,0.0,none,0
ASM-000242,PROP-00081,CTY-002,2025,337307,320733,0.0517,none,0
ASM-000243,PROP-00081,CTY-002,2026,364468,337307,0.0805,none,0
ASM-000244,PROP-00082,CTY-002,2024,380894,,0.0,none,0
ASM-000245,PROP-00082,CTY-002,2025,407116,380894,0.0688,none,0
ASM-000246,PROP-00082,CTY-002,2026,426244,407116,0.047,none,0
ASM-000247,PROP-00083,CTY-002,2024,390606,,0.0,none,0
ASM-000248,PROP-00083,CTY-002,2025,419556,390606,0.0741,none,0
ASM-000249,PROP-00083,CTY-002,2026,442766,419556,0.0553,none,0
ASM-000250,PROP-00084,CTY-002,2024,329828,,0.0,none,0
ASM-000251,PROP-00084,CTY-002,2025,352813,329828,0.0697,none,0
ASM-000252,PROP-00084,CTY-002,2026,381086,352813,0.0801,none,0
ASM-000253,PROP-00085,CTY-002,2024,376943,,0.0,none,0
ASM-000254,PROP-00085,CTY-002,2025,390109,376943,0.0349,none,0
ASM-000255,PROP-00085,CTY-002,2026,409062,390109,0.0486,none,0
ASM-000256,PROP-00086,CTY-002,2024,345426,,0.0,none,0
ASM-000257,PROP-00086,CTY-002,2025,360114,345426,0.0425,none,0
ASM-000258,PROP-00086,CTY-002,2026,380837,360114,0.0575,none,0
ASM-000259,PROP-00087,CTY-002,2024,373406,,0.0,none,0
ASM-000260,PROP-00087,CTY-002,2025,388581,373406,0.0406,none,0
ASM-000261,PROP-00087,CTY-002,2026,407283,388581,0.0481,none,0
ASM-000262,PROP-00088,CTY-002,2024,441218,,0.0,none,0
ASM-000263,PROP-00088,CTY-002,2025,460569,441218,0.0439,none,0
ASM-000264,PROP-00088,CTY-002,2026,496085,460569,0.0771,none,0
ASM-000265,PROP-00089,CTY-002,2024,372483,,0.0,none,0
ASM-000266,PROP-00089,CTY-002,2025,392970,372483,0.055,none,0
ASM-000267,PROP-00089,CTY-002,2026,417830,392970,0.0633,none,0
ASM-000268,PROP-00090,CTY-002,2024,313235,,0.0,none,0
ASM-000269,PROP-00090,CTY-002,2025,328727,313235,0.0495,none,0
ASM-000270,PROP-00090,CTY-002,2026,352761,328727,0.0731,none,0
ASM-000271,PROP-00091,CTY-002,2024,345358,,0.0,none,0
ASM-000272,PROP-00091,CTY-002,2025,358510,345358,0.0381,none,0
ASM-000273,PROP-00091,CTY-002,2026,387360,358510,0.0805,none,0
ASM-000274,PROP-00092,CTY-002,2024,380121,,0.0,none,0
ASM-000275,PROP-00092,CTY-002,2025,399573,380121,0.0512,none,0
ASM-000276,PROP-00092,CTY-002,2026,416940,399573,0.0435,none,0
ASM-000277,PROP-00093,CTY-002,2024,398187,,0.0,none,0
ASM-000278,PROP-00093,CTY-002,2025,411278,398187,0.0329,none,0
ASM-000279,PROP-00093,CTY-002,2026,439876,411278,0.0695,none,0
ASM-000280,PROP-00094,CTY-002,2024,395090,,0.0,none,0
ASM-000281,PROP-00094,CTY-002,2025,410487,395090,0.039,none,0
ASM-000282,PROP-00094,CTY-002,2026,438964,410487,0.0694,none,0
ASM-000283,PROP-00095,CTY-002,2024,385661,,0.0,none,0
ASM-000284,PROP-00095,CTY-002,2025,411938,385661,0.0681,none,0
ASM-000285,PROP-00095,CTY-002,2026,429527,411938,0.0427,none,0
ASM-000286,PROP-00096,CTY-002,2024,369941,,0.0,none,0
ASM-000287,PROP-00096,CTY-002,2025,388758,369941,0.0509,none,0
ASM-000288,PROP-00096,CTY-002,2026,408000,388758,0.0495,none,0
ASM-000289,PROP-00097,CTY-002,2024,347295,,0.0,none,0
ASM-000290,PROP-00097,CTY-002,2025,368349,347295,0.0606,none,0
ASM-000291,PROP-00097,CTY-002,2026,383505,368349,0.0411,none,0
ASM-000292,PROP-00098,CTY-003,2024,312621,,0.0,none,0
ASM-000293,PROP-00098,CTY-003,2025,324318,312621,0.0374,none,0
ASM-000294,PROP-00098,CTY-003,2026,343493,324318,0.0591,none,0
ASM-000295,PROP-00099,CTY-003,2024,389325,,0.0,none,0
ASM-000296,PROP-00099,CTY-003,2025,404347,389325,0.0386,none,0
ASM-000297,PROP-00099,CTY-003,2026,420762,404347,0.0406,none,0
ASM-000298,PROP-00100,CTY-003,2024,398823,,0.0,none,0
ASM-000299,PROP-00100,CTY-003,2025,419986,398823,0.0531,none,0
ASM-000300,PROP-00100,CTY-003,2026,435807,419986,0.0377,none,0
ASM-000301,PROP-00101,CTY-003,2024,334476,,0.0,none,0
ASM-000302,PROP-00101,CTY-003,2025,354076,334476,0.0586,none,0
ASM-000303,PROP-00101,CTY-003,2026,364944,354076,0.0307,none,0
ASM-000304,PROP-00102,CTY-003,2024,316755,,0.0,none,0
ASM-000305,PROP-00102,CTY-003,2025,334465,316755,0.0559,none,0
ASM-000306,PROP-00102,CTY-003,2026,352711,334465,0.0546,none,0
ASM-000307,PROP-00103,CTY-003,2024,399616,,0.0,none,0
ASM-000308,PROP-00103,CTY-003,2025,426270,399616,0.0667,none,0
ASM-000309,PROP-00103,CTY-003,2026,454674,426270,0.0666,none,0
ASM-000310,PROP-00104,CTY-003,2024,332632,,0.0,none,0
ASM-000311,PROP-00104,CTY-003,2025,351686,332632,0.0573,none,0
ASM-000312,PROP-00104,CTY-003,2026,371416,351686,0.0561,none,0
ASM-000313,PROP-00105,CTY-003,2024,431941,,0.0,none,0
ASM-000314,PROP-00105,CTY-003,2025,454217,431941,0.0516,none,0
ASM-000315,PROP-00105,CTY-003,2026,482250,454217,0.0617,none,0
ASM-000316,PROP-00106,CTY-003,2024,322206,,0.0,none,0
ASM-000317,PROP-00106,CTY-003,2025,341356,322206,0.0594,none,0
ASM-000318,PROP-00106,CTY-003,2026,358733,341356,0.0509,none,0
ASM-000319,PROP-00107,CTY-003,2024,329295,,0.0,none,0
ASM-000320,PROP-00107,CTY-003,2025,339248,329295,0.0302,none,0
ASM-000321,PROP-00107,CTY-003,2026,355458,339248,0.0478,none,0
ASM-000322,PROP-00108,CTY-003,2024,402622,,0.0,none,0
ASM-000323,PROP-00108,CTY-003,2025,424972,402622,0.0555,none,0
ASM-000324,PROP-00108,CTY-003,2026,447638,424972,0.0533,none,0
ASM-000325,PROP-00109,CTY-003,2024,322242,,0.0,none,0
ASM-000326,PROP-00109,CTY-003,2025,339398,322242,0.0532,none,0
ASM-000327,PROP-00109,CTY-003,2026,362997,339398,0.0695,none,0
ASM-000328,PROP-00110,CTY-003,2024,401791,,0.0,none,0
ASM-000329,PROP-00110,CTY-003,2025,429017,401791,0.0678,none,0
ASM-000330,PROP-00110,CTY-003,2026,443360,429017,0.0334,none,0
ASM-000331,PROP-00111,CTY-003,2024,305072,,0.0,none,0
ASM-000332,PROP-00111,CTY-003,2025,315499,305072,0.0342,none,0
ASM-000333,PROP-00111,CTY-003,2026,327629,315499,0.0384,none,0
ASM-000334,PROP-00112,CTY-003,2024,283106,,0.0,none,0
ASM-000335,PROP-00112,CTY-003,2025,295370,283106,0.0433,none,0
ASM-000336,PROP-00112,CTY-003,2026,307930,295370,0.0425,none,0
ASM-000337,PROP-00113,CTY-003,2024,285219,,0.0,none,0
ASM-000338,PROP-00113,CTY-003,2025,296192,285219,0.0385,none,0
ASM-000339,PROP-00113,CTY-003,2026,316521,296192,0.0686,none,0
ASM-000340,PROP-00114,CTY-003,2024,380775,,0.0,none,0
ASM-000341,PROP-00114,CTY-003,2025,399442,380775,0.049,none,0
ASM-000342,PROP-00114,CTY-003,2026,424337,399442,0.0623,none,0
ASM-000343,PROP-00115,CTY-003,2024,311802,,0.0,none,0
ASM-000344,PROP-00115,CTY-003,2025,326329,311802,0.0466,none,0
ASM-000345,PROP-00115,CTY-003,2026,338959,326329,0.0387,none,0
ASM-000346,PROP-00116,CTY-003,2024,344056,,0.0,none,0
ASM-000347,PROP-00116,CTY-003,2025,353739,344056,0.0281,none,0
ASM-000348,PROP-00116,CTY-003,2026,369335,353739,0.0441,none,0
ASM-000349,PROP-00117,CTY-003,2024,359426,,0.0,none,0
ASM-000350,PROP-00117,CTY-003,2025,370361,359426,0.0304,none,0
ASM-000351,PROP-00117,CTY-003,2026,386692,370361,0.0441,none,0
ASM-000352,PROP-00118,CTY-003,2024,416396,,0.0,none,0
ASM-000353,PROP-00118,CTY-003,2025,432378,416396,0.0384,none,0
ASM-000354,PROP-00118,CTY-003,2026,461716,432378,0.0679,none,0
ASM-000355,PROP-00119,CTY-003,2024,277575,,0.0,none,0
ASM-000356,PROP-00119,CTY-003,2025,288371,277575,0.0389,none,0
ASM-000357,PROP-00119,CTY-003,2026,300057,288371,0.0405,none,0
ASM-000358,PROP-00120,CTY-003,2024,389737,,0.0,none,0
ASM-000359,PROP-00120,CTY-003,2025,407452,389737,0.0455,none,0
ASM-000360,PROP-00120,CTY-003,2026,429721,407452,0.0547,none,0
ASM-000361,PROP-00121,CTY-003,2024,403258,,0.0,none,0
ASM-000362,PROP-00121,CTY-003,2025,430373,403258,0.0672,none,0
ASM-000363,PROP-00121,CTY-003,2026,451355,430373,0.0488,none,0
ASM-000364,PROP-00122,CTY-003,2024,400528,,0.0,none,0
ASM-000365,PROP-00122,CTY-003,2025,426236,400528,0.0642,none,0
ASM-000366,PROP-00122,CTY-003,2026,444844,426236,0.0437,none,0
ASM-000367,PROP-00123,CTY-003,2024,364665,,0.0,none,0
ASM-000368,PROP-00123,CTY-003,2025,384566,364665,0.0546,none,0
ASM-000369,PROP-00123,CTY-003,2026,396175,384566,0.0302,none,0
ASM-000370,PROP-00124,CTY-001,2024,437698,,0.0,none,0
ASM-000371,PROP-00124,CTY-001,2025,457238,437698,0.0446,none,0
ASM-000372,PROP-00124,CTY-001,2026,475900,457238,0.0408,none,0
ASM-000373,PROP-00125,CTY-001,2024,452989,,0.0,none,0
ASM-000374,PROP-00125,CTY-001,2025,468819,452989,0.0349,none,0
ASM-000375,PROP-00125,CTY-001,2026,505287,468819,0.0778,none,0
ASM-000376,PROP-00126,CTY-001,2024,503407,,0.0,none,0
