compId,city,state,beds,month,medianRent,sampleSize,source
CMP-000089,Arlington,TX,4,2025-02,2975,17,synthetic
CMP-000090,Arlington,TX,4,2025-03,3035,19,synthetic
CMP-000091,Arlington,TX,4,2025-04,3095,19,synthetic
CMP-000092,Arlington,TX,4,2025-05,3140,17,synthetic
CMP-000093,Arlington,TX,4,2025-06,3165,26,synthetic
CMP-000094,Arlington,TX,4,2025-07,3155,26,synthetic
CMP-000095,Arlington,TX,4,2025-08,3125,32,synthetic
CMP-000096,Arlington,TX,4,2025-09,3080,27,synthetic
CMP-000097,Arlington,TX,4,2025-10,3030,24,synthetic
CMP-000098,Arlington,TX,4,2025-11,3000,35,synthetic
CMP-000099,Arlington,TX,4,2025-12,2990,25,synthetic
CMP-000100,Arlington,TX,4,2026-01,3010,24,synthetic
CMP-000101,Arlington,TX,4,2026-02,3060,16,synthetic
CMP-000102,Arlington,TX,4,2026-03,3120,34,synthetic
CMP-000103,Arlington,TX,4,2026-04,3180,38,synthetic
CMP-000104,Arlington,TX,4,2026-05,3230,31,synthetic
CMP-000105,Arlington,TX,4,2026-06,3250,16,synthetic
CMP-000106,Arlington,TX,4,2026-07,3245,33,synthetic
CMP-000107,Arlington,TX,4,2026-08,3210,28,synthetic
CMP-000108,Arlington,TX,4,2026-09,3165,23,synthetic
CMP-000109,Aurora,CO,3,2023-10,2810,46,synthetic
CMP-000110,Aurora,CO,3,2023-11,2780,79,synthetic
CMP-000111,Aurora,CO,3,2023-12,2775,50,synthetic
CMP-000112,Aurora,CO,3,2024-01,2800,39,synthetic
CMP-000113,Aurora,CO,3,2024-02,2845,48,synthetic
CMP-000114,Aurora,CO,3,2024-03,2905,62,synthetic
CMP-000115,Aurora,CO,3,2024-04,2965,62,synthetic
CMP-000116,Aurora,CO,3,2024-05,3015,71,synthetic
CMP-000117,Aurora,CO,3,2024-06,3035,61,synthetic
CMP-000118,Aurora,CO,3,2024-07,3030,63,synthetic
CMP-000119,Aurora,CO,3,2024-08,3005,30,synthetic
CMP-000120,Aurora,CO,3,2024-09,2960,43,synthetic
CMP-000121,Aurora,CO,3,2024-10,2920,37,synthetic
CMP-000122,Aurora,CO,3,2024-11,2890,55,synthetic
CMP-000123,Aurora,CO,3,2024-12,2885,47,synthetic
CMP-000124,Aurora,CO,3,2025-01,2910,62,synthetic
CMP-000125,Aurora,CO,3,2025-02,2955,74,synthetic
CMP-000126,Aurora,CO,3,2025-03,3015,45,synthetic
CMP-000127,Aurora,CO,3,2025-04,3080,38,synthetic
CMP-000128,Aurora,CO,3,2025-05,3130,73,synthetic
CMP-000129,Aurora,CO,3,2025-06,3150,72,synthetic
CMP-000130,Aurora,CO,3,2025-07,3145,34,synthetic
CMP-000131,Aurora,CO,3,2025-08,3115,48,synthetic
CMP-000132,Aurora,CO,3,2025-09,3075,73,synthetic
CMP-000133,Aurora,CO,3,2025-10,3030,70,synthetic
CMP-000134,Aurora,CO,3,2025-11,3000,37,synthetic
CMP-000135,Aurora,CO,3,2025-12,2990,64,synthetic
CMP-000136,Aurora,CO,3,2026-01,3015,71,synthetic
CMP-000137,Aurora,CO,3,2026-02,3065,72,synthetic
CMP-000138,Aurora,CO,3,2026-03,3130,30,synthetic
CMP-000139,Aurora,CO,3,2026-04,3195,43,synthetic
CMP-000140,Aurora,CO,3,2026-05,3245,40,synthetic
CMP-000141,Aurora,CO,3,2026-06,3265,76,synthetic
CMP-000142,Aurora,CO,3,2026-07,3260,72,synthetic
CMP-000143,Aurora,CO,3,2026-08,3230,50,synthetic
CMP-000144,Aurora,CO,3,2026-09,3185,77,synthetic
CMP-000145,Aurora,CO,4,2023-10,3050,106,synthetic
CMP-000146,Aurora,CO,4,2023-11,3020,50,synthetic
CMP-000147,Aurora,CO,4,2023-12,3015,115,synthetic
CMP-000148,Aurora,CO,4,2024-01,3035,72,synthetic
CMP-000149,Aurora,CO,4,2024-02,3085,74,synthetic
CMP-000150,Aurora,CO,4,2024-03,3150,99,synthetic
CMP-000151,Aurora,CO,4,2024-04,3220,110,synthetic
CMP-000152,Aurora,CO,4,2024-05,3270,87,synthetic
CMP-000153,Aurora,CO,4,2024-06,3295,103,synthetic
CMP-000154,Aurora,CO,4,2024-07,3290,66,synthetic
CMP-000155,Aurora,CO,4,2024-08,3260,70,synthetic
CMP-000156,Aurora,CO,4,2024-09,3215,89,synthetic
CMP-000157,Aurora,CO,4,2024-10,3165,102,synthetic
CMP-000158,Aurora,CO,4,2024-11,3135,70,synthetic
CMP-000159,Aurora,CO,4,2024-12,3130,67,synthetic
CMP-000160,Aurora,CO,4,2025-01,3155,69,synthetic
CMP-000161,Aurora,CO,4,2025-02,3205,89,synthetic
CMP-000162,Aurora,CO,4,2025-03,3275,58,synthetic
CMP-000163,Aurora,CO,4,2025-04,3340,56,synthetic
CMP-000164,Aurora,CO,4,2025-05,3395,59,synthetic
CMP-000165,Aurora,CO,4,2025-06,3420,104,synthetic
CMP-000166,Aurora,CO,4,2025-07,3415,101,synthetic
CMP-000167,Aurora,CO,4,2025-08,3380,95,synthetic
CMP-000168,Aurora,CO,4,2025-09,3335,103,synthetic
CMP-000169,Aurora,CO,4,2025-10,3285,84,synthetic
CMP-000170,Aurora,CO,4,2025-11,3255,59,synthetic
CMP-000171,Aurora,CO,4,2025-12,3245,52,synthetic
CMP-000172,Aurora,CO,4,2026-01,3270,55,synthetic
CMP-000173,Aurora,CO,4,2026-02,3325,89,synthetic
CMP-000174,Aurora,CO,4,2026-03,3395,53,synthetic
CMP-000175,Aurora,CO,4,2026-04,3465,73,synthetic
CMP-000176,Aurora,CO,4,2026-05,3520,85,synthetic
CMP-000177,Aurora,CO,4,2026-06,3545,91,synthetic
CMP-000178,Aurora,CO,4,2026-07,3540,74,synthetic
CMP-000179,Aurora,CO,4,2026-08,3505,50,synthetic
CMP-000180,Aurora,CO,4,2026-09,3455,51,synthetic
CMP-000181,Bethlehem,GA,4,2023-10,2390,32,synthetic
CMP-000182,Bethlehem,GA,4,2023-11,2370,30,synthetic
CMP-000183,Bethlehem,GA,4,2023-12,2365,34,synthetic
CMP-000184,Bethlehem,GA,4,2024-01,2385,16,synthetic
CMP-000185,Bethlehem,GA,4,2024-02,2425,37,synthetic
CMP-000186,Bethlehem,GA,4,2024-03,2475,37,synthetic
CMP-000187,Bethlehem,GA,4,2024-04,2525,36,synthetic
CMP-000188,Bethlehem,GA,4,2024-05,2565,28,synthetic
CMP-000189,Bethlehem,GA,4,2024-06,2585,25,synthetic
CMP-000190,Bethlehem,GA,4,2024-07,2585,37,synthetic
CMP-000191,Bethlehem,GA,4,2024-08,2560,36,synthetic
CMP-000192,Bethlehem,GA,4,2024-09,2525,30,synthetic
CMP-000193,Bethlehem,GA,4,2024-10,2490,27,synthetic
CMP-000194,Bethlehem,GA,4,2024-11,2465,34,synthetic
CMP-000195,Bethlehem,GA,4,2024-12,2460,31,synthetic
CMP-000196,Bethlehem,GA,4,2025-01,2480,25,synthetic
CMP-000197,Bethlehem,GA,4,2025-02,2520,36,synthetic
CMP-000198,Bethlehem,GA,4,2025-03,2575,31,synthetic
CMP-000199,Bethlehem,GA,4,2025-04,2625,25,synthetic
CMP-000200,Bethlehem,GA,4,2025-05,2665,19,synthetic
CMP-000201,Bethlehem,GA,4,2025-06,2690,34,synthetic
CMP-000202,Bethlehem,GA,4,2025-07,2685,26,synthetic
CMP-000203,Bethlehem,GA,4,2025-08,2660,22,synthetic
CMP-000204,Bethlehem,GA,4,2025-09,2620,24,synthetic
CMP-000205,Bethlehem,GA,4,2025-10,2585,32,synthetic
CMP-000206,Bethlehem,GA,4,2025-11,2560,24,synthetic
CMP-000207,Bethlehem,GA,4,2025-12,2555,38,synthetic
CMP-000208,Bethlehem,GA,4,2026-01,2575,18,synthetic
CMP-000209,Bethlehem,GA,4,2026-02,2615,33,synthetic
CMP-000210,Bethlehem,GA,4,2026-03,2670,35,synthetic
CMP-000211,Bethlehem,GA,4,2026-04,2725,37,synthetic
CMP-000212,Bethlehem,GA,4,2026-05,2770,15,synthetic
CMP-000213,Bethlehem,GA,4,2026-06,2790,23,synthetic
CMP-000214,Bethlehem,GA,4,2026-07,2785,29,synthetic
CMP-000215,Bethlehem,GA,4,2026-08,2760,25,synthetic
CMP-000216,Bethlehem,GA,4,2026-09,2720,30,synthetic
CMP-000217,Bethlehem,GA,5,2023-10,2595,95,synthetic
CMP-000218,Bethlehem,GA,5,2023-11,2570,49,synthetic
CMP-000219,Bethlehem,GA,5,2023-12,2565,43,synthetic
CMP-000220,Bethlehem,GA,5,2024-01,2585,39,synthetic
CMP-000221,Bethlehem,GA,5,2024-02,2630,41,synthetic
CMP-000222,Bethlehem,GA,5,2024-03,2685,63,synthetic
CMP-000223,Bethlehem,GA,5,2024-04,2740,44,synthetic
CMP-000224,Bethlehem,GA,5,2024-05,2785,81,synthetic
CMP-000225,Bethlehem,GA,5,2024-06,2805,81,synthetic
CMP-000226,Bethlehem,GA,5,2024-07,2805,38,synthetic
CMP-000227,Bethlehem,GA,5,2024-08,2780,57,synthetic
CMP-000228,Bethlehem,GA,5,2024-09,2740,79,synthetic
CMP-000229,Bethlehem,GA,5,2024-10,2700,47,synthetic
CMP-000230,Bethlehem,GA,5,2024-11,2675,80,synthetic
CMP-000231,Bethlehem,GA,5,2024-12,2670,71,synthetic
CMP-000232,Bethlehem,GA,5,2025-01,2690,82,synthetic
CMP-000233,Bethlehem,GA,5,2025-02,2735,75,synthetic
CMP-000234,Bethlehem,GA,5,2025-03,2790,90,synthetic
CMP-000235,Bethlehem,GA,5,2025-04,2850,39,synthetic
CMP-000236,Bethlehem,GA,5,2025-05,2895,44,synthetic
CMP-000237,Bethlehem,GA,5,2025-06,2915,67,synthetic
CMP-000238,Bethlehem,GA,5,2025-07,2910,93,synthetic
CMP-000239,Bethlehem,GA,5,2025-08,2885,92,synthetic
CMP-000240,Bethlehem,GA,5,2025-09,2845,37,synthetic
CMP-000241,Bethlehem,GA,5,2025-10,2805,71,synthetic
CMP-000242,Bethlehem,GA,5,2025-11,2775,87,synthetic
CMP-000243,Bethlehem,GA,5,2025-12,2770,95,synthetic
CMP-000244,Bethlehem,GA,5,2026-01,2790,53,synthetic
CMP-000245,Bethlehem,GA,5,2026-02,2840,42,synthetic
CMP-000246,Bethlehem,GA,5,2026-03,2895,82,synthetic
CMP-000247,Bethlehem,GA,5,2026-04,2955,64,synthetic
CMP-000248,Bethlehem,GA,5,2026-05,3005,53,synthetic
CMP-000249,Bethlehem,GA,5,2026-06,3025,75,synthetic
CMP-000250,Bethlehem,GA,5,2026-07,3020,85,synthetic
CMP-000251,Bethlehem,GA,5,2026-08,2990,84,synthetic
CMP-000252,Bethlehem,GA,5,2026-09,2950,49,synthetic
CMP-000253,Buckeye,AZ,4,2023-10,1805,132,synthetic
CMP-000254,Buckeye,AZ,4,2023-11,1785,89,synthetic
CMP-000255,Buckeye,AZ,4,2023-12,1780,160,synthetic
CMP-000256,Buckeye,AZ,4,2024-01,1790,125,synthetic
CMP-000257,Buckeye,AZ,4,2024-02,1820,156,synthetic
CMP-000258,Buckeye,AZ,4,2024-03,1855,118,synthetic
CMP-000259,Buckeye,AZ,4,2024-04,1890,126,synthetic
CMP-000260,Buckeye,AZ,4,2024-05,1920,118,synthetic
CMP-000261,Buckeye,AZ,4,2024-06,1930,149,synthetic
CMP-000262,Buckeye,AZ,4,2024-07,1925,95,synthetic
CMP-000263,Buckeye,AZ,4,2024-08,1905,72,synthetic
CMP-000264,Buckeye,AZ,4,2024-09,1880,121,synthetic
CMP-000265,Buckeye,AZ,4,2024-10,1850,69,synthetic
CMP-000266,Buckeye,AZ,4,2024-11,1830,121,synthetic
CMP-000267,Buckeye,AZ,4,2024-12,1825,125,synthetic
CMP-000268,Buckeye,AZ,4,2025-01,1835,100,synthetic
CMP-000269,Buckeye,AZ,4,2025-02,1865,125,synthetic
CMP-000270,Buckeye,AZ,4,2025-03,1900,125,synthetic
CMP-000271,Buckeye,AZ,4,2025-04,1940,177,synthetic
CMP-000272,Buckeye,AZ,4,2025-05,1965,166,synthetic
CMP-000273,Buckeye,AZ,4,2025-06,1980,171,synthetic
CMP-000274,Buckeye,AZ,4,2025-07,1975,131,synthetic
CMP-000275,Buckeye,AZ,4,2025-08,1955,107,synthetic
CMP-000276,Buckeye,AZ,4,2025-09,1925,148,synthetic
CMP-000277,Buckeye,AZ,4,2025-10,1895,107,synthetic
CMP-000278,Buckeye,AZ,4,2025-11,1875,91,synthetic
CMP-000279,Buckeye,AZ,4,2025-12,1870,114,synthetic
CMP-000280,Buckeye,AZ,4,2026-01,1880,140,synthetic
CMP-000281,Buckeye,AZ,4,2026-02,1910,100,synthetic
CMP-000282,Buckeye,AZ,4,2026-03,1945,101,synthetic
CMP-000283,Buckeye,AZ,4,2026-04,1985,88,synthetic
CMP-000284,Buckeye,AZ,4,2026-05,2015,81,synthetic
CMP-000285,Buckeye,AZ,4,2026-06,2025,127,synthetic
CMP-000286,Buckeye,AZ,4,2026-07,2020,87,synthetic
CMP-000287,Buckeye,AZ,4,2026-08,2000,96,synthetic
CMP-000288,Buckeye,AZ,4,2026-09,1970,84,synthetic
CMP-000289,Canton,GA,4,2023-10,2620,219,synthetic
CMP-000290,Canton,GA,4,2023-11,2595,158,synthetic
CMP-000291,Canton,GA,4,2023-12,2585,129,synthetic
CMP-000292,Canton,GA,4,2024-01,2605,158,synthetic
CMP-000293,Canton,GA,4,2024-02,2645,112,synthetic
CMP-000294,Canton,GA,4,2024-03,2695,162,synthetic
CMP-000295,Canton,GA,4,2024-04,2750,107,synthetic
CMP-000296,Canton,GA,4,2024-05,2790,124,synthetic
CMP-000297,Canton,GA,4,2024-06,2810,146,synthetic
CMP-000298,Canton,GA,4,2024-07,2800,120,synthetic
CMP-000299,Canton,GA,4,2024-08,2775,214,synthetic
CMP-000300,Canton,GA,4,2024-09,2730,219,synthetic
CMP-000301,Canton,GA,4,2024-10,2690,116,synthetic
CMP-000302,Canton,GA,4,2024-11,2660,223,synthetic
CMP-000303,Canton,GA,4,2024-12,2650,153,synthetic
CMP-000304,Canton,GA,4,2025-01,2670,152,synthetic
CMP-000305,Canton,GA,4,2025-02,2710,111,synthetic
CMP-000306,Canton,GA,4,2025-03,2765,112,synthetic
CMP-000307,Canton,GA,4,2025-04,2820,136,synthetic
CMP-000308,Canton,GA,4,2025-05,2860,192,synthetic
CMP-000309,Canton,GA,4,2025-06,2880,153,synthetic
CMP-000310,Canton,GA,4,2025-07,2870,184,synthetic
CMP-000311,Canton,GA,4,2025-08,2840,180,synthetic
CMP-000312,Canton,GA,4,2025-09,2800,152,synthetic
CMP-000313,Canton,GA,4,2025-10,2755,206,synthetic
CMP-000314,Canton,GA,4,2025-11,2725,94,synthetic
CMP-000315,Canton,GA,4,2025-12,2720,142,synthetic
CMP-000316,Canton,GA,4,2026-01,2735,172,synthetic
CMP-000317,Canton,GA,4,2026-02,2780,226,synthetic
CMP-000318,Canton,GA,4,2026-03,2835,169,synthetic
CMP-000319,Canton,GA,4,2026-04,2890,141,synthetic
CMP-000320,Canton,GA,4,2026-05,2930,214,synthetic
CMP-000321,Canton,GA,4,2026-06,2950,124,synthetic
CMP-000322,Canton,GA,4,2026-07,2940,125,synthetic
CMP-000323,Canton,GA,4,2026-08,2910,175,synthetic
CMP-000324,Canton,GA,4,2026-09,2865,111,synthetic
CMP-000325,Cape Coral,FL,3,2023-10,1730,199,synthetic
CMP-000326,Cape Coral,FL,3,2023-11,1710,88,synthetic
CMP-000327,Cape Coral,FL,3,2023-12,1710,189,synthetic
CMP-000328,Cape Coral,FL,3,2024-01,1725,200,synthetic
CMP-000329,Cape Coral,FL,3,2024-02,1755,116,synthetic
CMP-000330,Cape Coral,FL,3,2024-03,1790,133,synthetic
CMP-000331,Cape Coral,FL,3,2024-04,1830,169,synthetic
CMP-000332,Cape Coral,FL,3,2024-05,1860,126,synthetic
CMP-000333,Cape Coral,FL,3,2024-06,1875,207,synthetic
CMP-000334,Cape Coral,FL,3,2024-07,1870,190,synthetic
CMP-000335,Cape Coral,FL,3,2024-08,1855,84,synthetic
CMP-000336,Cape Coral,FL,3,2024-09,1830,158,synthetic
CMP-000337,Cape Coral,FL,3,2024-10,1805,159,synthetic
CMP-000338,Cape Coral,FL,3,2024-11,1785,142,synthetic
CMP-000339,Cape Coral,FL,3,2024-12,1785,83,synthetic
CMP-000340,Cape Coral,FL,3,2025-01,1800,112,synthetic
CMP-000341,Cape Coral,FL,3,2025-02,1830,155,synthetic
CMP-000342,Cape Coral,FL,3,2025-03,1870,141,synthetic
CMP-000343,Cape Coral,FL,3,2025-04,1910,98,synthetic
CMP-000344,Cape Coral,FL,3,2025-05,1940,90,synthetic
CMP-000345,Cape Coral,FL,3,2025-06,1955,130,synthetic
CMP-000346,Cape Coral,FL,3,2025-07,1950,147,synthetic
CMP-000347,Cape Coral,FL,3,2025-08,1935,78,synthetic
CMP-000348,Cape Coral,FL,3,2025-09,1910,150,synthetic
CMP-000349,Cape Coral,FL,3,2025-10,1880,80,synthetic
CMP-000350,Cape Coral,FL,3,2025-11,1865,142,synthetic
CMP-000351,Cape Coral,FL,3,2025-12,1860,183,synthetic
CMP-000352,Cape Coral,FL,3,2026-01,1875,121,synthetic
CMP-000353,Cape Coral,FL,3,2026-02,1905,178,synthetic
CMP-000354,Cape Coral,FL,3,2026-03,1945,111,synthetic
CMP-000355,Cape Coral,FL,3,2026-04,1985,102,synthetic
CMP-000356,Cape Coral,FL,3,2026-05,2020,134,synthetic
CMP-000357,Cape Coral,FL,3,2026-06,2035,102,synthetic
CMP-000358,Cape Coral,FL,3,2026-07,2030,128,synthetic
CMP-000359,Cape Coral,FL,3,2026-08,2015,141,synthetic
CMP-000360,Cape Coral,FL,3,2026-09,1985,204,synthetic
CMP-000361,Charlotte,NC,3,2023-10,2345,125,synthetic
CMP-000362,Charlotte,NC,3,2023-11,2325,97,synthetic
CMP-000363,Charlotte,NC,3,2023-12,2320,112,synthetic
CMP-000364,Charlotte,NC,3,2024-01,2335,143,synthetic
CMP-000365,Charlotte,NC,3,2024-02,2375,80,synthetic
CMP-000366,Charlotte,NC,3,2024-03,2420,142,synthetic
CMP-000367,Charlotte,NC,3,2024-04,2470,92,synthetic
CMP-000368,Charlotte,NC,3,2024-05,2510,56,synthetic
CMP-000369,Charlotte,NC,3,2024-06,2525,132,synthetic
CMP-000370,Charlotte,NC,3,2024-07,2520,64,synthetic
CMP-000371,Charlotte,NC,3,2024-08,2495,91,synthetic
CMP-000372,Charlotte,NC,3,2024-09,2460,67,synthetic
CMP-000373,Charlotte,NC,3,2024-10,2425,116,synthetic
CMP-000374,Charlotte,NC,3,2024-11,2400,58,synthetic
CMP-000375,Charlotte,NC,3,2024-12,2395,79,synthetic
CMP-000376,Charlotte,NC,3,2025-01,2410,107,synthetic
CMP-000377,Charlotte,NC,3,2025-02,2450,103,synthetic
CMP-000378,Charlotte,NC,3,2025-03,2500,68,synthetic
CMP-000379,Charlotte,NC,3,2025-04,2550,128,synthetic
CMP-000380,Charlotte,NC,3,2025-05,2590,145,synthetic
CMP-000381,Charlotte,NC,3,2025-06,2605,128,synthetic
CMP-000382,Charlotte,NC,3,2025-07,2600,140,synthetic
CMP-000383,Charlotte,NC,3,2025-08,2575,140,synthetic
CMP-000384,Charlotte,NC,3,2025-09,2540,115,synthetic
CMP-000385,Charlotte,NC,3,2025-10,2500,141,synthetic
CMP-000386,Charlotte,NC,3,2025-11,2475,85,synthetic
CMP-000387,Charlotte,NC,3,2025-12,2470,75,synthetic
CMP-000388,Charlotte,NC,3,2026-01,2485,143,synthetic
CMP-000389,Charlotte,NC,3,2026-02,2525,137,synthetic
CMP-000390,Charlotte,NC,3,2026-03,2575,120,synthetic
CMP-000391,Charlotte,NC,3,2026-04,2630,70,synthetic
CMP-000392,Charlotte,NC,3,2026-05,2670,128,synthetic
CMP-000393,Charlotte,NC,3,2026-06,2690,89,synthetic
CMP-000394,Charlotte,NC,3,2026-07,2680,69,synthetic
CMP-000395,Charlotte,NC,3,2026-08,2655,142,synthetic
CMP-000396,Charlotte,NC,3,2026-09,2615,111,synthetic
CMP-000397,Charlotte,NC,4,2023-10,2545,231,synthetic
CMP-000398,Charlotte,NC,4,2023-11,2520,166,synthetic
CMP-000399,Charlotte,NC,4,2023-12,2515,107,synthetic
CMP-000400,Charlotte,NC,4,2024-01,2535,122,synthetic
CMP-000401,Charlotte,NC,4,2024-02,2575,90,synthetic
CMP-000402,Charlotte,NC,4,2024-03,2625,87,synthetic
CMP-000403,Charlotte,NC,4,2024-04,2680,113,synthetic
CMP-000404,Charlotte,NC,4,2024-05,2720,127,synthetic
CMP-000405,Charlotte,NC,4,2024-06,2740,177,synthetic
CMP-000406,Charlotte,NC,4,2024-07,2735,190,synthetic
CMP-000407,Charlotte,NC,4,2024-08,2710,157,synthetic
CMP-000408,Charlotte,NC,4,2024-09,2670,127,synthetic
CMP-000409,Charlotte,NC,4,2024-10,2630,154,synthetic
CMP-000410,Charlotte,NC,4,2024-11,2600,142,synthetic
CMP-000411,Charlotte,NC,4,2024-12,2595,202,synthetic
CMP-000412,Charlotte,NC,4,2025-01,2615,94,synthetic
CMP-000413,Charlotte,NC,4,2025-02,2660,121,synthetic
CMP-000414,Charlotte,NC,4,2025-03,2710,148,synthetic
CMP-000415,Charlotte,NC,4,2025-04,2765,202,synthetic
CMP-000416,Charlotte,NC,4,2025-05,2810,159,synthetic
CMP-000417,Charlotte,NC,4,2025-06,2830,212,synthetic
CMP-000418,Charlotte,NC,4,2025-07,2825,129,synthetic
CMP-000419,Charlotte,NC,4,2025-08,2795,146,synthetic
CMP-000420,Charlotte,NC,4,2025-09,2755,192,synthetic
CMP-000421,Charlotte,NC,4,2025-10,2715,100,synthetic
CMP-000422,Charlotte,NC,4,2025-11,2685,105,synthetic
CMP-000423,Charlotte,NC,4,2025-12,2680,205,synthetic
CMP-000424,Charlotte,NC,4,2026-01,2700,159,synthetic
CMP-000425,Charlotte,NC,4,2026-02,2740,217,synthetic
CMP-000426,Charlotte,NC,4,2026-03,2795,155,synthetic
