leaseId,propertyId,residentId,startDate,endDate,termMonths,monthlyRent,deposit,concessionMonths,renewalOfLeaseId,status
LSE-000099,PROP-00038,RES-00069,2022-05-15,2023-05-15,12,2410,1205,0,,expired
LSE-000100,PROP-00038,RES-00070,2023-07-06,2025-07-06,24,2400,1200,0,,expired
LSE-000101,PROP-00038,RES-00070,2025-09-08,2026-09-08,12,2690,2690,0,LSE-000100,expired
LSE-000102,PROP-00039,RES-00071,2023-10-13,2024-10-13,12,2715,1357,0,,expired
LSE-000103,PROP-00039,RES-00072,2024-10-21,2025-10-21,12,2810,2810,0,,expired
LSE-000104,PROP-00039,RES-00073,2025-12-27,2027-06-27,18,2980,2980,0,,active
LSE-000105,PROP-00040,RES-00074,2024-01-25,2025-01-25,12,2825,2825,0,,expired
LSE-000106,PROP-00040,RES-00075,2025-03-06,2026-03-06,12,3015,3015,1,,expired
LSE-000107,PROP-00040,RES-00075,2026-05-14,2027-05-14,12,3115,3115,0,LSE-000106,active
LSE-000108,PROP-00041,RES-00076,2023-08-24,2025-08-24,24,2490,2490,0,,expired
LSE-000109,PROP-00041,RES-00077,2025-09-13,2026-09-13,12,2760,1380,1,,expired
LSE-000110,PROP-00042,RES-00078,2022-04-09,2023-04-09,12,2515,1257,0,,expired
LSE-000111,PROP-00042,RES-00079,2023-04-18,2024-04-18,12,2515,1257,0,,expired
LSE-000112,PROP-00042,RES-00079,2024-06-29,2025-06-29,12,2680,2680,0,LSE-000111,expired
LSE-000113,PROP-00042,RES-00079,2025-07-27,2026-07-27,12,2715,2715,0,LSE-000112,expired
LSE-000114,PROP-00042,RES-00080,2026-09-27,2027-09-27,12,2705,1352,0,,active
LSE-000115,PROP-00043,RES-00081,2022-10-23,2023-10-23,12,2555,2555,0,,expired
LSE-000116,PROP-00043,RES-00082,2024-01-01,2026-01-01,24,2580,2580,0,,expired
LSE-000117,PROP-00043,RES-00082,2026-03-10,2028-03-10,24,2690,2690,0,LSE-000116,active
LSE-000118,PROP-00044,RES-00083,2023-11-05,2024-11-05,12,2740,1370,0,,expired
LSE-000119,PROP-00044,RES-00083,2025-01-18,2027-01-18,24,2850,2850,0,LSE-000118,active
LSE-000120,PROP-00045,RES-00084,2024-07-28,2026-07-28,24,2745,2745,0,,expired
LSE-000121,PROP-00045,RES-00085,2026-08-29,2027-08-29,12,2870,1435,0,,active
LSE-000122,PROP-00046,RES-00086,2022-08-04,2024-08-04,24,2350,2350,0,,expired
LSE-000123,PROP-00046,RES-00086,2024-10-04,2026-04-04,18,2440,2440,0,LSE-000122,expired
LSE-000124,PROP-00046,RES-00087,2026-05-27,2028-05-27,24,2700,2700,1,,active
LSE-000125,PROP-00047,RES-00088,2021-11-05,2022-11-05,12,2330,2330,0,,expired
LSE-000126,PROP-00047,RES-00089,2023-01-12,2025-01-12,24,2380,1190,0,,expired
LSE-000127,PROP-00047,RES-00090,2025-01-21,2026-01-21,12,2460,2460,0,,expired
LSE-000128,PROP-00047,RES-00091,2026-03-01,2028-03-01,24,2690,2690,0,,active
LSE-000129,PROP-00048,RES-00092,2024-08-06,2026-08-06,24,2555,2555,0,,expired
LSE-000130,PROP-00048,RES-00093,2026-08-22,2027-08-22,12,2705,2705,0,,active
LSE-000131,PROP-00049,RES-00094,2022-02-19,2024-02-19,24,2415,2415,1,,expired
LSE-000132,PROP-00049,RES-00094,2024-03-31,2026-03-31,24,2520,2520,0,LSE-000131,expired
LSE-000133,PROP-00049,RES-00095,2026-04-16,2028-04-16,24,2690,1345,1,,active
LSE-000134,PROP-00050,RES-00096,2023-08-14,2024-08-14,12,2375,2375,0,,expired
LSE-000135,PROP-00050,RES-00096,2024-09-12,2026-09-12,24,2455,2455,0,LSE-000134,expired
LSE-000136,PROP-00051,RES-00097,2022-05-14,2023-05-14,12,2440,2440,0,,expired
LSE-000137,PROP-00051,RES-00097,2023-06-23,2025-06-23,24,2515,1257,0,LSE-000136,expired
LSE-000138,PROP-00051,RES-00098,2025-08-16,2027-08-16,24,2640,1320,0,,active
LSE-000139,PROP-00052,RES-00099,2023-09-23,2024-09-23,12,2360,2360,0,,expired
LSE-000140,PROP-00052,RES-00099,2024-10-02,2026-10-02,24,2435,2435,0,LSE-000139,active
LSE-000141,PROP-00053,RES-00100,2023-12-13,2025-12-13,24,2340,2340,0,,expired
LSE-000142,PROP-00053,RES-00100,2026-01-14,2028-01-14,24,2485,1242,0,LSE-000141,active
LSE-000143,PROP-00054,RES-00101,2024-12-07,2025-12-07,12,2350,1175,0,,expired
LSE-000144,PROP-00054,RES-00101,2026-01-19,2027-01-19,12,2515,2515,0,LSE-000143,active
LSE-000145,PROP-00055,RES-00102,2022-07-16,2023-07-16,12,2340,1170,0,,expired
LSE-000146,PROP-00055,RES-00102,2023-08-07,2024-08-07,12,2395,2395,1,LSE-000145,expired
LSE-000147,PROP-00055,RES-00103,2024-09-24,2025-09-24,12,2540,1270,0,,expired
LSE-000148,PROP-00055,RES-00104,2025-11-10,2027-11-10,24,2525,2525,0,,active
LSE-000149,PROP-00056,RES-00105,2024-03-09,2025-09-09,18,2440,1220,0,,expired
LSE-000150,PROP-00056,RES-00106,2025-10-23,2026-10-23,12,2470,2470,0,,active
LSE-000151,PROP-00057,RES-00107,2021-10-08,2023-10-08,24,2375,2375,0,,expired
LSE-000152,PROP-00057,RES-00108,2023-11-26,2024-11-26,12,2260,1130,0,,expired
LSE-000153,PROP-00057,RES-00108,2024-12-05,2026-12-05,24,2330,2330,0,LSE-000152,active
LSE-000154,PROP-00058,RES-00109,2023-11-09,2025-11-09,24,2390,2390,0,,expired
LSE-000155,PROP-00058,RES-00110,2025-11-15,2026-11-15,12,2480,2480,0,,active
LSE-000156,PROP-00059,RES-00111,2022-01-19,2023-01-19,12,2290,2290,0,,expired
LSE-000157,PROP-00059,RES-00112,2023-03-23,2024-03-23,12,2410,2410,0,,expired
LSE-000158,PROP-00059,RES-00113,2024-05-26,2025-05-26,12,2500,1250,0,,expired
LSE-000159,PROP-00059,RES-00113,2025-08-07,2026-08-07,12,2555,1277,0,LSE-000158,expired
LSE-000160,PROP-00059,RES-00114,2026-09-23,2027-09-23,12,2600,1300,0,,active
LSE-000161,PROP-00060,RES-00115,2022-06-27,2023-06-27,12,2370,1185,1,,expired
LSE-000162,PROP-00060,RES-00116,2023-07-15,2025-01-15,18,2375,2375,1,,expired
LSE-000163,PROP-00060,RES-00116,2025-02-09,2026-02-09,12,2470,1235,0,LSE-000162,expired
LSE-000164,PROP-00060,RES-00117,2026-03-05,2027-09-05,18,2625,2625,0,,active
LSE-000165,PROP-00061,RES-00118,2023-05-28,2024-05-28,12,2350,2350,0,,expired
LSE-000166,PROP-00061,RES-00119,2024-07-14,2025-07-14,12,2585,1292,0,,expired
LSE-000167,PROP-00061,RES-00119,2025-07-29,2026-07-29,12,2615,1307,0,LSE-000166,expired
LSE-000168,PROP-00061,RES-00119,2026-08-10,2028-02-10,18,2740,2740,0,LSE-000167,active
LSE-000169,PROP-00062,RES-00120,2024-04-17,2025-04-17,12,2550,2550,0,,expired
LSE-000170,PROP-00062,RES-00121,2025-05-27,2026-05-27,12,2640,2640,0,,expired
LSE-000171,PROP-00062,RES-00122,2026-08-01,2027-08-01,12,2690,2690,0,,active
LSE-000172,PROP-00063,RES-00123,2021-12-12,2022-12-12,12,2415,2415,0,,expired
LSE-000173,PROP-00063,RES-00123,2022-12-26,2024-12-26,24,2465,1232,0,LSE-000172,evicted
LSE-000174,PROP-00063,RES-00124,2025-01-25,2027-01-25,24,2460,1230,0,,active
LSE-000175,PROP-00064,RES-00125,2023-06-13,2024-06-13,12,2475,2475,0,,expired
LSE-000176,PROP-00064,RES-00125,2024-08-19,2025-08-19,12,2555,1277,0,LSE-000175,expired
LSE-000177,PROP-00064,RES-00125,2025-08-31,2026-08-31,12,2665,1332,0,LSE-000176,expired
LSE-000178,PROP-00065,RES-00126,2022-04-23,2023-04-23,12,2395,2395,0,,expired
LSE-000179,PROP-00065,RES-00126,2023-05-13,2024-05-13,12,2460,1230,1,LSE-000178,expired
LSE-000180,PROP-00065,RES-00127,2024-07-21,2025-07-21,12,2680,1340,0,,expired
LSE-000181,PROP-00065,RES-00127,2025-07-27,2026-07-27,12,2740,1370,0,LSE-000180,expired
LSE-000182,PROP-00065,RES-00128,2026-08-16,2027-08-16,12,2825,2825,0,,active
LSE-000183,PROP-00066,RES-00129,2023-04-09,2025-04-09,24,2380,1190,0,,expired
LSE-000184,PROP-00066,RES-00129,2025-06-10,2026-06-10,12,2565,2565,0,LSE-000183,expired
LSE-000185,PROP-00066,RES-00129,2026-07-21,2028-01-21,18,2730,2730,0,LSE-000184,active
LSE-000186,PROP-00067,RES-00130,2023-07-11,2025-01-11,18,2340,2340,0,,expired
LSE-000187,PROP-00067,RES-00130,2025-03-23,2027-03-23,24,2450,2450,0,LSE-000186,active
LSE-000188,PROP-00068,RES-00131,2023-07-14,2024-07-14,12,2390,2390,0,,expired
LSE-000189,PROP-00068,RES-00132,2024-08-24,2025-08-24,12,2500,1250,0,,expired
LSE-000190,PROP-00068,RES-00133,2025-09-14,2027-09-14,24,2630,2630,0,,active
LSE-000191,PROP-00069,RES-00134,2023-05-06,2025-05-06,24,2365,2365,1,,expired
LSE-000192,PROP-00069,RES-00135,2025-05-17,2026-05-17,12,2665,1332,0,,expired
LSE-000193,PROP-00069,RES-00135,2026-07-02,2028-07-02,24,2735,2735,0,LSE-000192,active
LSE-000194,PROP-00070,RES-00136,2023-04-25,2024-04-25,12,2425,2425,0,,expired
LSE-000195,PROP-00070,RES-00136,2024-05-23,2026-05-23,24,2530,2530,0,LSE-000194,expired
LSE-000196,PROP-00070,RES-00137,2026-06-22,2027-12-22,18,2850,1425,0,,active
LSE-000197,PROP-00071,RES-00138,2023-12-21,2024-12-21,12,2360,2360,0,,expired
LSE-000198,PROP-00071,RES-00139,2025-02-26,2026-02-26,12,2515,1257,1,,expired
LSE-000199,PROP-00071,RES-00140,2026-03-28,2028-03-28,24,2525,2525,0,,active
LSE-000200,PROP-00072,RES-00141,2023-01-18,2025-01-18,24,2335,2335,0,,expired
LSE-000201,PROP-00072,RES-00142,2025-03-27,2027-03-27,24,2570,2570,0,,active
LSE-000202,PROP-00073,RES-00143,2023-07-04,2025-01-04,18,2410,2410,0,,expired
LSE-000203,PROP-00073,RES-00144,2025-02-22,2026-02-22,12,2460,1230,0,,expired
LSE-000204,PROP-00073,RES-00145,2026-04-20,2027-04-20,12,2785,2785,0,,active
LSE-000205,PROP-00074,RES-00146,2024-03-20,2026-03-20,24,2525,2525,1,,expired
LSE-000206,PROP-00074,RES-00146,2026-05-26,2027-05-26,12,2755,1377,0,LSE-000205,active
LSE-000207,PROP-00075,RES-00147,2023-03-22,2024-03-22,12,2415,2415,1,,expired
LSE-000208,PROP-00075,RES-00148,2024-04-08,2025-04-08,12,2495,2495,0,,expired
LSE-000209,PROP-00075,RES-00148,2025-05-01,2026-05-01,12,2575,2575,0,LSE-000208,expired
LSE-000210,PROP-00075,RES-00149,2026-05-09,2027-05-09,12,2765,2765,0,,active
LSE-000211,PROP-00076,RES-00150,2022-12-14,2024-06-14,18,2455,2455,0,,expired
LSE-000212,PROP-00076,RES-00151,2024-07-02,2025-07-02,12,2520,1260,0,,expired
LSE-000213,PROP-00076,RES-00152,2025-07-22,2026-07-22,12,2735,1367,0,,expired
LSE-000214,PROP-00076,RES-00152,2026-09-07,2028-03-07,18,2800,1400,0,LSE-000213,active
LSE-000215,PROP-00077,RES-00153,2023-05-26,2024-05-26,12,2415,2415,1,,expired
LSE-000216,PROP-00077,RES-00154,2024-07-27,2026-01-27,18,2555,1277,0,,expired
LSE-000217,PROP-00077,RES-00154,2026-02-20,2028-02-20,24,2585,2585,1,LSE-000216,active
LSE-000218,PROP-00078,RES-00155,2023-06-13,2025-06-13,24,2405,1202,0,,expired
LSE-000219,PROP-00078,RES-00155,2025-07-10,2027-07-10,24,2630,2630,0,LSE-000218,active
LSE-000220,PROP-00079,RES-00156,2023-01-10,2024-01-10,12,2345,2345,0,,expired
LSE-000221,PROP-00079,RES-00156,2024-02-06,2025-02-06,12,2445,2445,0,LSE-000220,expired
LSE-000222,PROP-00079,RES-00157,2025-02-18,2026-02-18,12,2485,2485,0,,expired
LSE-000223,PROP-00079,RES-00158,2026-03-11,2028-03-11,24,2590,1295,0,,active
LSE-000224,PROP-00080,RES-00159,2023-11-21,2024-11-21,12,2270,1135,0,,expired
LSE-000225,PROP-00080,RES-00160,2025-01-05,2027-01-05,24,2495,1247,0,,active
LSE-000226,PROP-00081,RES-00161,2022-10-23,2023-10-23,12,2410,1205,0,,expired
LSE-000227,PROP-00081,RES-00161,2023-12-17,2024-12-17,12,2515,2515,0,LSE-000226,expired
LSE-000228,PROP-00081,RES-00162,2025-01-20,2026-07-20,18,2450,2450,0,,expired
LSE-000229,PROP-00081,RES-00162,2026-07-30,2027-07-30,12,2640,2640,0,LSE-000228,active
LSE-000230,PROP-00082,RES-00163,2023-07-06,2025-07-06,24,2375,1187,1,,expired
LSE-000231,PROP-00082,RES-00164,2025-09-01,2027-03-01,18,2595,2595,0,,active
LSE-000232,PROP-00083,RES-00165,2022-10-13,2023-10-13,12,2360,2360,0,,expired
LSE-000233,PROP-00083,RES-00166,2023-11-09,2024-11-09,12,2320,2320,0,,expired
LSE-000234,PROP-00083,RES-00166,2024-12-20,2025-12-20,12,2430,2430,0,LSE-000233,expired
LSE-000235,PROP-00083,RES-00166,2025-12-26,2026-12-26,12,2520,2520,1,LSE-000234,active
LSE-000236,PROP-00084,RES-00167,2023-06-17,2024-06-17,12,2310,2310,1,,expired
LSE-000237,PROP-00084,RES-00168,2024-06-25,2025-12-25,18,2495,1247,0,,expired
LSE-000238,PROP-00084,RES-00169,2026-03-09,2027-03-09,12,2590,2590,0,,active
LSE-000239,PROP-00085,RES-00170,2023-08-15,2024-08-15,12,2300,2300,0,,expired
LSE-000240,PROP-00085,RES-00171,2024-10-14,2025-10-14,12,2480,2480,0,,expired
LSE-000241,PROP-00085,RES-00171,2025-12-02,2026-12-02,12,2555,2555,0,LSE-000240,active
LSE-000242,PROP-00086,RES-00172,2022-06-03,2023-06-03,12,2330,2330,0,,expired
LSE-000243,PROP-00086,RES-00173,2023-06-14,2024-06-14,12,2400,2400,0,,expired
LSE-000244,PROP-00086,RES-00173,2024-08-22,2026-08-22,24,2510,1255,0,LSE-000243,expired
LSE-000245,PROP-00087,RES-00174,2022-01-18,2023-01-18,12,2125,1062,0,,expired
LSE-000246,PROP-00087,RES-00175,2023-03-05,2025-03-05,24,2065,1032,0,,expired
LSE-000247,PROP-00087,RES-00175,2025-03-27,2026-03-27,12,2150,2150,0,LSE-000246,expired
LSE-000248,PROP-00087,RES-00176,2026-04-25,2028-04-25,24,2310,2310,0,,active
LSE-000249,PROP-00088,RES-00177,2021-12-25,2023-12-25,24,2100,2100,0,,expired
LSE-000250,PROP-00088,RES-00177,2024-02-09,2026-02-09,24,2165,2165,0,LSE-000249,expired
LSE-000251,PROP-00088,RES-00177,2026-03-14,2027-03-14,12,2265,1132,0,LSE-000250,active
LSE-000252,PROP-00089,RES-00178,2023-04-02,2025-04-02,24,2130,2130,0,,expired
LSE-000253,PROP-00089,RES-00179,2025-05-25,2027-05-25,24,2330,2330,0,,active
LSE-000254,PROP-00090,RES-00180,2022-04-23,2024-04-23,24,2305,2305,1,,expired
LSE-000255,PROP-00090,RES-00180,2024-06-05,2026-06-05,24,2435,2435,0,LSE-000254,expired
LSE-000256,PROP-00090,RES-00181,2026-06-25,2027-12-25,18,2650,2650,1,,active
LSE-000257,PROP-00091,RES-00182,2024-04-21,2025-10-21,18,2320,2320,0,,expired
LSE-000258,PROP-00091,RES-00183,2026-01-03,2028-01-03,24,2265,2265,1,,active
LSE-000259,PROP-00092,RES-00184,2023-12-20,2025-12-20,24,2315,2315,0,,expired
LSE-000260,PROP-00092,RES-00184,2026-02-11,2028-02-11,24,2445,2445,0,LSE-000259,active
LSE-000261,PROP-00093,RES-00185,2023-07-25,2024-07-25,12,2370,2370,0,,expired
LSE-000262,PROP-00093,RES-00186,2024-09-11,2026-09-11,24,2460,2460,0,,expired
LSE-000263,PROP-00094,RES-00187,2022-06-01,2023-12-01,18,2425,2425,0,,expired
LSE-000264,PROP-00094,RES-00187,2024-01-20,2025-07-20,18,2500,2500,0,LSE-000263,expired
LSE-000265,PROP-00094,RES-00187,2025-08-21,2026-08-21,12,2545,1272,1,LSE-000264,expired
LSE-000266,PROP-00094,RES-00187,2026-08-26,2027-08-26,12,2575,2575,0,LSE-000265,active
LSE-000267,PROP-00095,RES-00188,2024-01-09,2026-01-09,24,2030,1015,0,,expired
LSE-000268,PROP-00095,RES-00189,2026-03-12,2027-09-12,18,2315,2315,0,,active
LSE-000269,PROP-00096,RES-00190,2023-07-10,2024-07-10,12,2115,2115,0,,expired
LSE-000270,PROP-00096,RES-00191,2024-07-25,2026-07-25,24,2250,1125,0,,expired
LSE-000271,PROP-00096,RES-00191,2026-08-18,2027-08-18,12,2320,2320,0,LSE-000270,active
LSE-000272,PROP-00097,RES-00192,2024-03-31,2026-03-31,24,2385,1192,0,,expired
LSE-000273,PROP-00097,RES-00192,2026-04-28,2027-04-28,12,2530,1265,0,LSE-000272,active
LSE-000274,PROP-00098,RES-00193,2023-02-20,2024-02-20,12,2115,2115,0,,terminated-early
LSE-000275,PROP-00098,RES-00194,2024-03-31,2026-03-31,24,2165,1082,0,,expired
LSE-000276,PROP-00098,RES-00195,2026-05-09,2027-05-09,12,2335,2335,0,,active
LSE-000277,PROP-00099,RES-00196,2024-03-19,2025-03-19,12,2495,2495,0,,expired
LSE-000278,PROP-00099,RES-00197,2025-05-18,2026-05-18,12,2615,2615,0,,expired
LSE-000279,PROP-00099,RES-00198,2026-06-02,2028-06-02,24,2700,2700,0,,active
LSE-000280,PROP-00100,RES-00199,2023-10-02,2025-04-02,18,2140,2140,0,,expired
