workOrderId,propertyId,category,responsibility,chargedToResident,contributingNeglect,priority,isEmergency,openedDate,closedDate,cost,vendorId,residentReported
WO-000053,PROP-00006,Electrical,landlord,False,False,routine,False,2024-09-11,2024-09-18,721,VEN-0002,True
WO-000054,PROP-00006,Fence,landlord,False,False,urgent,False,2023-10-30,2023-10-31,1225,VEN-0059,True
WO-000055,PROP-00006,Appliance,landlord,False,False,urgent,False,2023-10-30,2023-11-06,699,VEN-0001,True
WO-000056,PROP-00006,Garage door,landlord,False,False,routine,False,2024-02-12,2024-02-19,600,VEN-0077,True
WO-000057,PROP-00006,Plumbing - major clog,landlord,False,False,routine,False,2026-01-31,2026-02-06,344,VEN-0005,False
WO-000058,PROP-00007,Roof,landlord,False,False,routine,False,2025-02-22,2025-03-01,2983,VEN-0006,True
WO-000059,PROP-00007,Lawn maintenance,resident,True,False,routine,False,2025-03-06,2025-03-18,229,VEN-0004,True
WO-000060,PROP-00007,Lawn maintenance,resident,True,False,routine,False,2025-10-10,2025-10-18,208,VEN-0004,False
WO-000061,PROP-00007,Plumbing - leak,landlord,False,False,routine,False,2023-11-18,2023-11-26,1821,VEN-0005,True
WO-000062,PROP-00007,Air filter,resident,True,False,urgent,False,2024-10-27,2024-11-01,55,VEN-0057,True
WO-000063,PROP-00007,Sprinkler,resident,True,False,routine,False,2025-06-05,2025-06-12,217,VEN-0004,False
WO-000064,PROP-00007,Plumbing - leak,landlord,False,False,routine,False,2026-07-27,2026-08-01,551,VEN-0005,True
WO-000065,PROP-00007,Turn,landlord,False,False,routine,False,2024-11-13,2024-11-24,2962,VEN-0066,True
WO-000066,PROP-00007,Garage door,landlord,False,False,urgent,False,2026-07-23,2026-07-28,907,VEN-0068,True
WO-000067,PROP-00007,Electrical,landlord,False,False,routine,False,2026-05-05,2026-05-10,964,VEN-0002,True
WO-000068,PROP-00008,HVAC - not heating,landlord,False,False,routine,False,2024-02-24,2024-03-04,1353,VEN-0003,False
WO-000069,PROP-00008,Pool maintenance,resident,True,False,routine,False,2026-01-26,2026-01-26,459,VEN-0076,False
WO-000070,PROP-00008,Turn,landlord,False,False,routine,False,2024-12-29,2025-01-02,1984,VEN-0084,True
WO-000071,PROP-00008,Turn,landlord,False,False,routine,False,2025-08-18,2025-08-24,3839,VEN-0052,True
WO-000072,PROP-00008,Lawn maintenance,resident,True,False,routine,False,2024-11-24,2024-12-03,176,VEN-0004,True
WO-000073,PROP-00008,Fence,landlord,False,False,routine,False,2024-04-21,2024-04-29,446,VEN-0018,False
WO-000074,PROP-00008,Plumbing - minor clog,resident,True,False,urgent,False,2025-11-28,2025-12-05,227,VEN-0005,True
WO-000075,PROP-00008,HVAC - not cooling,landlord,False,True,emergency,True,2026-03-24,2026-03-25,1291,VEN-0003,True
WO-000076,PROP-00008,Pool maintenance,resident,True,False,routine,False,2026-08-14,2026-08-19,736,VEN-0025,False
WO-000077,PROP-00009,Lawn maintenance,resident,True,False,routine,False,2024-10-13,2024-10-21,175,VEN-0004,True
WO-000078,PROP-00009,Garage door,landlord,False,False,routine,False,2024-10-22,2024-10-22,501,VEN-0014,True
WO-000079,PROP-00009,Appliance,landlord,False,False,emergency,True,2025-09-17,2025-09-17,815,VEN-0001,True
WO-000080,PROP-00009,Lawn maintenance,resident,True,False,routine,False,2023-10-19,2023-10-24,185,VEN-0004,True
WO-000081,PROP-00009,Plumbing - leak,landlord,False,False,routine,False,2026-01-09,2026-01-15,1505,VEN-0005,True
WO-000082,PROP-00009,Plumbing - hardware,landlord,False,False,routine,False,2026-03-05,2026-03-09,372,VEN-0005,True
WO-000083,PROP-00009,Pest control,resident,True,False,urgent,False,2024-02-02,2024-02-05,315,VEN-0073,True
WO-000084,PROP-00009,Air filter,resident,True,False,urgent,False,2025-02-22,2025-02-23,33,VEN-0002,True
WO-000085,PROP-00009,Plumbing - hardware,landlord,False,False,urgent,False,2024-06-08,2024-06-14,742,VEN-0005,True
WO-000086,PROP-00009,Lawn maintenance,resident,True,False,routine,False,2026-03-04,2026-03-15,274,VEN-0004,True
WO-000087,PROP-00010,Sprinkler,resident,True,False,urgent,False,2026-04-14,2026-04-22,462,VEN-0004,True
WO-000088,PROP-00010,Sprinkler,resident,True,False,urgent,False,2026-02-17,2026-02-22,231,VEN-0004,True
WO-000089,PROP-00010,Lawn maintenance,resident,True,False,urgent,False,2024-07-09,2024-07-14,122,VEN-0004,True
WO-000090,PROP-00010,Lawn maintenance,resident,True,False,urgent,False,2025-04-03,2025-04-08,138,VEN-0004,True
WO-000091,PROP-00010,Appliance,landlord,False,False,urgent,False,2025-06-07,2025-06-12,769,VEN-0001,False
WO-000092,PROP-00010,Turn,landlord,False,False,routine,False,2026-06-05,2026-06-10,2201,VEN-0041,True
WO-000093,PROP-00011,Plumbing - hardware,landlord,False,False,routine,False,2026-05-17,2026-05-22,318,VEN-0005,False
WO-000094,PROP-00011,Plumbing - hardware,landlord,False,False,routine,False,2024-11-05,2024-11-11,316,VEN-0005,False
WO-000095,PROP-00011,Appliance,landlord,False,False,routine,False,2023-11-03,2023-11-11,748,VEN-0001,True
WO-000096,PROP-00011,Appliance,landlord,False,False,routine,False,2024-03-26,2024-04-06,1111,VEN-0001,True
WO-000097,PROP-00011,Pool maintenance,resident,True,False,routine,False,2025-06-21,2025-06-24,404,VEN-0002,True
WO-000098,PROP-00011,Pool maintenance,resident,True,False,routine,False,2024-01-13,2024-01-22,658,VEN-0091,True
WO-000099,PROP-00011,Fence,landlord,False,False,urgent,False,2025-03-16,2025-03-18,2628,VEN-0037,False
WO-000100,PROP-00011,Plumbing - leak,landlord,False,False,urgent,False,2024-03-25,2024-04-02,2289,VEN-0005,False
WO-000101,PROP-00011,Pool maintenance,resident,True,False,routine,False,2023-12-17,2023-12-19,388,VEN-0055,True
WO-000102,PROP-00011,Plumbing - leak,landlord,False,False,routine,False,2026-07-01,2026-07-08,957,VEN-0005,True
WO-000103,PROP-00011,Turn,landlord,False,False,routine,False,2025-09-15,2025-09-18,3749,VEN-0062,True
WO-000104,PROP-00011,HVAC - not cooling,landlord,False,False,routine,False,2023-12-15,2023-12-22,1771,VEN-0003,True
WO-000105,PROP-00011,Pest control,resident,True,False,routine,False,2026-03-15,2026-03-19,192,VEN-0023,False
WO-000106,PROP-00012,HVAC - not heating,landlord,False,False,emergency,True,2025-07-25,2025-07-25,1165,VEN-0003,True
WO-000107,PROP-00012,Plumbing - minor clog,resident,True,False,urgent,False,2025-04-16,2025-04-20,200,VEN-0005,True
WO-000108,PROP-00012,HVAC - not cooling,landlord,False,False,routine,False,2026-01-01,2026-01-10,1871,VEN-0003,True
WO-000109,PROP-00012,Electrical,landlord,False,False,routine,False,2025-05-08,2025-05-12,924,VEN-0002,True
WO-000110,PROP-00012,HVAC - not heating,landlord,False,True,routine,False,2025-01-14,2025-01-23,1800,VEN-0003,False
WO-000111,PROP-00012,Plumbing - leak,landlord,False,False,urgent,False,2026-02-22,2026-03-03,1835,VEN-0005,True
WO-000112,PROP-00012,Lawn maintenance,resident,True,False,routine,False,2024-03-05,2024-03-15,160,VEN-0004,True
WO-000113,PROP-00012,Pest control,resident,True,False,urgent,False,2025-04-24,2025-04-26,279,VEN-0057,True
WO-000114,PROP-00012,Turn,landlord,False,False,routine,False,2024-10-22,2024-10-31,4488,VEN-0003,False
WO-000115,PROP-00012,Pool maintenance,resident,True,False,urgent,False,2025-02-27,2025-03-08,370,VEN-0061,True
WO-000116,PROP-00012,Appliance,landlord,False,False,urgent,False,2026-03-01,2026-03-10,522,VEN-0001,True
WO-000117,PROP-00012,Air filter,resident,True,False,routine,False,2025-01-13,2025-01-16,49,VEN-0089,True
WO-000118,PROP-00012,HVAC - not cooling,landlord,False,True,emergency,True,2023-12-06,2023-12-07,968,VEN-0003,True
WO-000119,PROP-00013,Plumbing - minor clog,resident,True,False,urgent,False,2026-09-06,2026-09-10,156,VEN-0005,True
WO-000120,PROP-00013,Pool maintenance,resident,True,False,routine,False,2025-08-21,2025-08-25,497,VEN-0031,True
WO-000121,PROP-00013,HVAC - not cooling,landlord,False,True,routine,False,2025-01-08,2025-01-18,2578,VEN-0003,False
WO-000122,PROP-00013,Lawn maintenance,resident,True,False,routine,False,2025-08-05,2025-08-13,252,VEN-0004,True
WO-000123,PROP-00013,Plumbing - leak,landlord,False,False,urgent,False,2025-05-05,2025-05-13,793,VEN-0005,True
WO-000124,PROP-00013,Appliance,landlord,False,False,routine,False,2023-10-19,2023-10-28,299,VEN-0001,False
WO-000125,PROP-00013,Pool maintenance,resident,True,False,urgent,False,2026-08-06,2026-08-17,742,VEN-0046,True
WO-000126,PROP-00013,HVAC - not cooling,landlord,False,False,emergency,True,2024-03-23,2024-03-24,2337,VEN-0003,True
WO-000127,PROP-00014,Appliance,landlord,False,False,urgent,False,2025-09-01,2025-09-08,889,VEN-0001,True
WO-000128,PROP-00014,Pest control,resident,True,False,routine,False,2025-11-08,2025-11-10,183,VEN-0014,False
WO-000129,PROP-00014,Plumbing - minor clog,resident,True,False,routine,False,2023-12-08,2023-12-17,215,VEN-0005,True
WO-000130,PROP-00014,Turn,landlord,False,False,routine,False,2025-02-26,2025-03-03,1751,VEN-0004,True
WO-000131,PROP-00015,Air filter,resident,True,False,routine,False,2024-10-30,2024-11-09,51,VEN-0018,True
WO-000132,PROP-00015,Lawn maintenance,resident,True,False,routine,False,2025-01-31,2025-02-08,194,VEN-0004,False
WO-000133,PROP-00015,Turn,landlord,False,False,urgent,False,2025-04-25,2025-05-06,4153,VEN-0004,False
WO-000134,PROP-00015,Garage door,landlord,False,False,urgent,False,2025-11-02,2025-11-03,715,VEN-0013,True
WO-000135,PROP-00015,HVAC - not cooling,landlord,False,False,routine,False,2025-10-19,2025-10-26,1973,VEN-0003,True
WO-000136,PROP-00015,Lawn maintenance,resident,True,False,emergency,True,2024-08-09,2024-08-10,177,VEN-0004,False
WO-000137,PROP-00015,Fence,landlord,False,False,routine,False,2026-08-25,2026-08-30,1703,VEN-0006,True
WO-000138,PROP-00015,Lawn maintenance,resident,True,False,urgent,False,2024-08-26,2024-09-03,114,VEN-0004,True
WO-000139,PROP-00015,Lawn maintenance,resident,True,False,urgent,False,2025-04-20,2025-04-27,260,VEN-0004,False
WO-000140,PROP-00015,Roof,landlord,False,False,emergency,True,2026-04-30,2026-04-30,6107,VEN-0006,True
WO-000141,PROP-00015,Garage door,landlord,False,False,urgent,False,2023-12-05,2023-12-08,742,VEN-0052,True
WO-000142,PROP-00016,Plumbing - major clog,landlord,False,False,urgent,False,2026-08-28,2026-09-06,501,VEN-0005,True
WO-000143,PROP-00016,HVAC - not heating,landlord,False,False,routine,False,2023-12-23,2023-12-30,2946,VEN-0003,False
WO-000144,PROP-00016,Appliance,landlord,False,False,routine,False,2025-04-05,2025-04-11,888,VEN-0001,True
WO-000145,PROP-00016,Appliance,landlord,False,False,urgent,False,2025-02-16,2025-02-27,232,VEN-0001,False
WO-000146,PROP-00016,Roof,landlord,False,False,urgent,False,2023-11-03,2023-11-11,4174,VEN-0006,True
WO-000147,PROP-00016,Turn,landlord,False,False,routine,False,2024-01-09,2024-01-15,4766,VEN-0066,True
WO-000148,PROP-00017,Sprinkler,resident,True,False,urgent,False,2024-06-03,2024-06-08,545,VEN-0004,False
WO-000149,PROP-00017,HVAC - not cooling,landlord,False,False,urgent,False,2025-10-10,2025-10-20,2059,VEN-0003,True
WO-000150,PROP-00017,Lawn maintenance,resident,True,False,routine,False,2024-04-18,2024-04-25,90,VEN-0004,True
WO-000151,PROP-00017,Turn,landlord,False,False,routine,False,2025-09-19,2025-09-21,2194,VEN-0055,True
WO-000152,PROP-00017,Pest control,resident,True,False,urgent,False,2025-06-11,2025-06-17,247,VEN-0064,False
WO-000153,PROP-00017,Turn,landlord,False,False,routine,False,2025-07-15,2025-07-17,3305,VEN-0063,False
WO-000154,PROP-00017,HVAC - not cooling,landlord,False,False,routine,False,2025-08-23,2025-09-01,1462,VEN-0003,True
WO-000155,PROP-00017,Pool maintenance,resident,True,False,routine,False,2024-08-28,2024-08-29,267,VEN-0082,True
WO-000156,PROP-00017,Sprinkler,resident,True,False,routine,False,2025-10-01,2025-10-10,374,VEN-0004,True
WO-000157,PROP-00017,Pool maintenance,resident,True,False,routine,False,2025-06-08,2025-06-15,448,VEN-0041,True
WO-000158,PROP-00017,Turn,landlord,False,False,routine,False,2024-08-07,2024-08-10,4949,VEN-0057,False
WO-000159,PROP-00017,Pest control,resident,True,False,urgent,False,2026-06-13,2026-06-23,190,VEN-0044,True
WO-000160,PROP-00017,Fence,landlord,False,False,urgent,False,2024-02-01,2024-02-09,2206,VEN-0029,True
WO-000161,PROP-00017,Appliance,landlord,False,False,routine,False,2024-11-20,2024-11-25,353,VEN-0001,True
WO-000162,PROP-00017,Turn,landlord,False,False,urgent,False,2024-06-24,2024-06-29,3033,VEN-0046,True
WO-000163,PROP-00018,Appliance - garbage disposal,landlord,False,False,routine,False,2024-03-13,2024-03-23,223,VEN-0001,True
WO-000164,PROP-00018,Fence,landlord,False,False,urgent,False,2023-11-28,2023-12-06,894,VEN-0006,True
WO-000165,PROP-00018,Plumbing - leak,landlord,False,False,routine,False,2024-03-19,2024-03-30,912,VEN-0005,True
WO-000166,PROP-00018,Roof,landlord,False,False,routine,False,2023-11-18,2023-11-26,3017,VEN-0006,True
WO-000167,PROP-00018,Roof,landlord,False,False,urgent,False,2025-09-14,2025-09-24,5238,VEN-0006,True
WO-000168,PROP-00018,Plumbing - major clog,landlord,False,False,routine,False,2024-03-25,2024-03-31,383,VEN-0005,True
WO-000169,PROP-00018,Fence,landlord,False,False,routine,False,2026-02-01,2026-02-08,404,VEN-0022,True
WO-000170,PROP-00019,Appliance,landlord,False,False,routine,False,2024-02-11,2024-02-20,526,VEN-0001,True
WO-000171,PROP-00019,HVAC - not heating,landlord,False,False,routine,False,2024-07-18,2024-07-28,2082,VEN-0003,True
WO-000172,PROP-00019,Appliance - garbage disposal,landlord,False,False,urgent,False,2025-07-03,2025-07-11,516,VEN-0001,True
WO-000173,PROP-00019,Pest control,resident,True,False,routine,False,2026-07-31,2026-08-06,171,VEN-0057,False
WO-000174,PROP-00019,Electrical,landlord,False,False,routine,False,2026-04-06,2026-04-08,1049,VEN-0002,True
WO-000175,PROP-00019,Electrical,landlord,False,False,routine,False,2025-03-22,2025-03-24,382,VEN-0002,True
WO-000176,PROP-00020,Lawn maintenance,resident,True,False,routine,False,2024-04-23,2024-04-29,173,VEN-0004,True
WO-000177,PROP-00020,Plumbing - minor clog,resident,True,False,urgent,False,2024-03-03,2024-03-15,180,VEN-0005,True
WO-000178,PROP-00020,HVAC - not cooling,landlord,False,False,routine,False,2025-11-29,2025-12-03,1406,VEN-0003,True
WO-000179,PROP-00020,Fence,landlord,False,False,urgent,False,2024-08-22,2024-09-01,954,VEN-0004,True
WO-000180,PROP-00020,Turn,landlord,False,False,routine,False,2024-03-19,2024-03-21,2622,VEN-0075,True
WO-000181,PROP-00020,Pool maintenance,resident,True,False,emergency,True,2025-01-03,2025-01-03,379,VEN-0073,True
WO-000182,PROP-00021,Plumbing - minor clog,resident,True,False,urgent,False,2025-01-27,2025-02-03,206,VEN-0005,True
WO-000183,PROP-00021,Fence,landlord,False,False,routine,False,2024-01-25,2024-02-01,1753,VEN-0069,True
WO-000184,PROP-00021,Sprinkler,resident,True,False,routine,False,2023-10-26,2023-11-04,470,VEN-0004,True
WO-000185,PROP-00021,Appliance,landlord,False,False,routine,False,2024-09-15,2024-09-24,264,VEN-0001,True
WO-000186,PROP-00021,Electrical,landlord,False,False,routine,False,2023-12-02,2023-12-05,776,VEN-0002,True
WO-000187,PROP-00021,HVAC - not heating,landlord,False,False,routine,False,2024-04-17,2024-04-25,1319,VEN-0003,True
WO-000188,PROP-00021,Lawn maintenance,resident,True,False,routine,False,2026-03-30,2026-04-06,126,VEN-0004,True
WO-000189,PROP-00021,Lawn maintenance,resident,True,False,urgent,False,2024-02-17,2024-02-23,131,VEN-0004,True
WO-000190,PROP-00021,Electrical,landlord,False,False,urgent,False,2024-03-10,2024-03-14,1460,VEN-0002,False
WO-000191,PROP-00021,Sprinkler,resident,True,False,urgent,False,2025-04-21,2025-04-28,432,VEN-0004,True
WO-000192,PROP-00021,Lawn maintenance,resident,True,False,routine,False,2024-05-18,2024-05-23,145,VEN-0004,False
WO-000193,PROP-00022,Appliance,landlord,False,False,routine,False,2023-10-08,2023-10-12,1132,VEN-0001,True
WO-000194,PROP-00022,HVAC - not heating,landlord,False,False,emergency,True,2026-01-30,2026-01-30,1632,VEN-0003,True
WO-000195,PROP-00022,Turn,landlord,False,False,routine,False,2025-02-13,2025-02-22,4415,VEN-0066,False
WO-000196,PROP-00022,Garage door,landlord,False,False,routine,False,2025-01-01,2025-01-06,737,VEN-0064,True
WO-000197,PROP-00022,Sprinkler,resident,True,False,urgent,False,2025-10-02,2025-10-12,213,VEN-0004,False
WO-000198,PROP-00023,Air filter,resident,True,False,urgent,False,2024-09-03,2024-09-08,38,VEN-0050,False
WO-000199,PROP-00023,Fence,landlord,False,False,routine,False,2025-04-27,2025-04-27,1172,VEN-0052,False
WO-000200,PROP-00023,Air filter,resident,True,False,routine,False,2025-03-12,2025-03-18,25,VEN-0024,True
WO-000201,PROP-00023,Plumbing - leak,landlord,False,False,routine,False,2026-03-20,2026-04-01,893,VEN-0005,True
WO-000202,PROP-00023,Turn,landlord,False,False,urgent,False,2025-06-23,2025-06-27,4935,VEN-0011,True
WO-000203,PROP-00023,Plumbing - water heater,landlord,False,False,emergency,True,2025-01-18,2025-01-19,1919,VEN-0005,True
WO-000204,PROP-00023,Plumbing - leak,landlord,False,False,emergency,True,2025-01-09,2025-01-09,1717,VEN-0005,False
WO-000205,PROP-00024,HVAC - not cooling,landlord,False,False,emergency,True,2025-02-24,2025-02-24,2067,VEN-0003,True
WO-000206,PROP-00024,Plumbing - leak,landlord,False,False,routine,False,2023-12-12,2023-12-22,907,VEN-0005,True
WO-000207,PROP-00024,HVAC - not heating,landlord,False,False,routine,False,2025-01-30,2025-02-06,1771,VEN-0003,True
WO-000208,PROP-00024,Appliance,landlord,False,False,routine,False,2023-11-22,2023-11-26,1154,VEN-0001,False
WO-000209,PROP-00024,Sprinkler,resident,True,False,urgent,False,2023-11-25,2023-12-04,289,VEN-0004,True
WO-000210,PROP-00024,Garage door,landlord,False,False,urgent,False,2025-11-10,2025-11-14,230,VEN-0002,True
WO-000211,PROP-00024,Lawn maintenance,resident,True,False,routine,False,2024-03-21,2024-03-30,359,VEN-0004,True
WO-000212,PROP-00025,Appliance,landlord,False,False,routine,False,2026-04-13,2026-04-23,377,VEN-0001,True
WO-000213,PROP-00025,Appliance,landlord,False,False,routine,False,2024-06-25,2024-07-01,629,VEN-0001,True
WO-000214,PROP-00025,Plumbing - major clog,landlord,False,False,urgent,False,2025-01-20,2025-01-25,504,VEN-0005,True
WO-000215,PROP-00025,Electrical,landlord,False,False,routine,False,2024-09-03,2024-09-03,1241,VEN-0002,True
WO-000216,PROP-00025,HVAC - not cooling,landlord,False,True,urgent,False,2024-07-24,2024-08-01,848,VEN-0003,True
WO-000217,PROP-00025,Sprinkler,resident,True,False,routine,False,2026-05-13,2026-05-18,343,VEN-0004,True
WO-000218,PROP-00026,Pool maintenance,resident,True,False,urgent,False,2024-06-17,2024-06-21,427,VEN-0008,False
WO-000219,PROP-00026,Plumbing - water heater,landlord,False,False,routine,False,2024-09-22,2024-09-27,917,VEN-0005,True
WO-000220,PROP-00026,HVAC - not heating,landlord,False,True,routine,False,2025-12-19,2025-12-26,1228,VEN-0003,False
WO-000221,PROP-00026,Lawn maintenance,resident,True,False,urgent,False,2023-12-12,2023-12-20,208,VEN-0004,False
WO-000222,PROP-00026,Pool maintenance,resident,True,False,urgent,False,2026-07-01,2026-07-07,386,VEN-0005,True
WO-000223,PROP-00027,Electrical,landlord,False,False,routine,False,2025-04-16,2025-04-19,1047,VEN-0002,False
WO-000224,PROP-00027,Turn,landlord,False,False,routine,False,2024-05-28,2024-06-05,4946,VEN-0004,True
WO-000225,PROP-00027,Appliance,landlord,False,False,routine,False,2026-05-13,2026-05-19,1031,VEN-0001,False
WO-000226,PROP-00027,Lawn maintenance,resident,True,False,urgent,False,2026-06-23,2026-07-04,112,VEN-0004,True
WO-000227,PROP-00027,Lawn maintenance,resident,True,False,routine,False,2024-03-18,2024-03-25,226,VEN-0004,False
WO-000228,PROP-00027,Plumbing - leak,landlord,False,False,emergency,True,2024-11-29,2024-11-30,1009,VEN-0005,True
WO-000229,PROP-00027,Turn,landlord,False,False,routine,False,2024-11-28,2024-12-02,2155,VEN-0014,False
WO-000230,PROP-00027,Garage door,landlord,False,False,routine,False,2024-03-11,2024-03-17,461,VEN-0064,True
WO-000231,PROP-00027,Plumbing - leak,landlord,False,False,routine,False,2025-10-25,2025-10-31,1585,VEN-0005,True
WO-000232,PROP-00027,Pool maintenance,resident,True,False,urgent,False,2023-11-18,2023-11-20,360,VEN-0002,False
WO-000233,PROP-00028,Roof,landlord,False,False,routine,False,2024-03-23,2024-04-01,1317,VEN-0006,False
WO-000234,PROP-00028,Turn,landlord,False,False,routine,False,2025-06-04,2025-06-08,4487,VEN-0016,False
WO-000235,PROP-00028,Roof,landlord,False,False,routine,False,2024-01-29,2024-02-07,2258,VEN-0006,True
WO-000236,PROP-00028,Appliance,landlord,False,False,routine,False,2026-07-30,2026-08-10,1456,VEN-0001,True
