expenseId,propertyId,communitySlug,scope,category,date,amount,glCode
EXP-000070,PROP-00003,charlottes-ridge,property,HOA,2026-01-01,348,GL-HOA
EXP-000071,PROP-00003,charlottes-ridge,property,Insurance,2026-01-01,1083,GL-INSURA
EXP-000072,PROP-00003,charlottes-ridge,property,HOA,2026-04-01,336,GL-HOA
EXP-000073,PROP-00003,charlottes-ridge,property,HOA,2026-07-01,339,GL-HOA
EXP-000074,PROP-00003,charlottes-ridge,property,Utilities,2025-10-01,163,GL-UTILIT
EXP-000075,PROP-00003,charlottes-ridge,property,Marketing,2026-03-18,441,GL-MARKET
EXP-000076,PROP-00003,charlottes-ridge,property,Marketing,2024-09-14,591,GL-MARKET
EXP-000077,PROP-00003,charlottes-ridge,property,Marketing,2025-12-17,267,GL-MARKET
EXP-000078,PROP-00003,charlottes-ridge,property,Marketing,2025-10-08,538,GL-MARKET
EXP-000079,PROP-00003,charlottes-ridge,property,Legal,2024-07-07,1030,GL-LEGAL
EXP-000080,PROP-00003,charlottes-ridge,property,Legal,2024-03-04,1541,GL-LEGAL
EXP-000081,PROP-00003,charlottes-ridge,property,CapEx,2026-09-07,4259,GL-CAPEX
EXP-000082,PROP-00003,charlottes-ridge,property,CapEx,2024-12-05,7479,GL-CAPEX
EXP-000083,PROP-00003,charlottes-ridge,property,Turn,2024-05-17,1287,GL-TURN
EXP-000084,PROP-00004,charlottes-ridge,property,HOA,2023-10-01,257,GL-HOA
EXP-000085,PROP-00004,charlottes-ridge,property,HOA,2024-01-01,254,GL-HOA
EXP-000086,PROP-00004,charlottes-ridge,property,Insurance,2024-01-01,1462,GL-INSURA
EXP-000087,PROP-00004,charlottes-ridge,property,HOA,2024-04-01,251,GL-HOA
EXP-000088,PROP-00004,charlottes-ridge,property,HOA,2024-07-01,252,GL-HOA
EXP-000089,PROP-00004,charlottes-ridge,property,HOA,2024-10-01,250,GL-HOA
EXP-000090,PROP-00004,charlottes-ridge,property,HOA,2025-01-01,260,GL-HOA
EXP-000091,PROP-00004,charlottes-ridge,property,Insurance,2025-01-01,1502,GL-INSURA
EXP-000092,PROP-00004,charlottes-ridge,property,HOA,2025-04-01,253,GL-HOA
EXP-000093,PROP-00004,charlottes-ridge,property,HOA,2025-07-01,252,GL-HOA
EXP-000094,PROP-00004,charlottes-ridge,property,HOA,2025-10-01,263,GL-HOA
EXP-000095,PROP-00004,charlottes-ridge,property,HOA,2026-01-01,254,GL-HOA
EXP-000096,PROP-00004,charlottes-ridge,property,Insurance,2026-01-01,1602,GL-INSURA
EXP-000097,PROP-00004,charlottes-ridge,property,HOA,2026-04-01,265,GL-HOA
EXP-000098,PROP-00004,charlottes-ridge,property,HOA,2026-07-01,251,GL-HOA
EXP-000099,PROP-00004,charlottes-ridge,property,Utilities,2024-06-01,164,GL-UTILIT
EXP-000100,PROP-00004,charlottes-ridge,property,Utilities,2026-07-01,155,GL-UTILIT
EXP-000101,PROP-00004,charlottes-ridge,property,Marketing,2024-06-03,496,GL-MARKET
EXP-000102,PROP-00004,charlottes-ridge,property,Marketing,2024-12-13,263,GL-MARKET
EXP-000103,PROP-00004,charlottes-ridge,property,Marketing,2026-06-03,471,GL-MARKET
EXP-000104,PROP-00004,charlottes-ridge,property,Legal,2024-09-05,722,GL-LEGAL
EXP-000105,PROP-00004,charlottes-ridge,property,Legal,2024-11-02,320,GL-LEGAL
EXP-000106,PROP-00004,charlottes-ridge,property,CapEx,2026-07-19,6889,GL-CAPEX
EXP-000107,PROP-00004,charlottes-ridge,property,Turn,2025-07-22,1787,GL-TURN
EXP-000108,PROP-00004,charlottes-ridge,property,Turn,2024-09-10,3256,GL-TURN
EXP-000109,PROP-00005,charlottes-ridge,property,HOA,2023-10-01,347,GL-HOA
EXP-000110,PROP-00005,charlottes-ridge,property,HOA,2024-01-01,346,GL-HOA
EXP-000111,PROP-00005,charlottes-ridge,property,Insurance,2024-01-01,1206,GL-INSURA
EXP-000112,PROP-00005,charlottes-ridge,property,HOA,2024-04-01,335,GL-HOA
EXP-000113,PROP-00005,charlottes-ridge,property,HOA,2024-07-01,350,GL-HOA
EXP-000114,PROP-00005,charlottes-ridge,property,HOA,2024-10-01,344,GL-HOA
EXP-000115,PROP-00005,charlottes-ridge,property,HOA,2025-01-01,344,GL-HOA
EXP-000116,PROP-00005,charlottes-ridge,property,Insurance,2025-01-01,1248,GL-INSURA
EXP-000117,PROP-00005,charlottes-ridge,property,HOA,2025-04-01,347,GL-HOA
EXP-000118,PROP-00005,charlottes-ridge,property,HOA,2025-07-01,347,GL-HOA
EXP-000119,PROP-00005,charlottes-ridge,property,HOA,2025-10-01,350,GL-HOA
EXP-000120,PROP-00005,charlottes-ridge,property,HOA,2026-01-01,351,GL-HOA
EXP-000121,PROP-00005,charlottes-ridge,property,Insurance,2026-01-01,1209,GL-INSURA
EXP-000122,PROP-00005,charlottes-ridge,property,HOA,2026-04-01,347,GL-HOA
EXP-000123,PROP-00005,charlottes-ridge,property,HOA,2026-07-01,338,GL-HOA
EXP-000124,PROP-00005,charlottes-ridge,property,Utilities,2024-07-01,157,GL-UTILIT
EXP-000125,PROP-00005,charlottes-ridge,property,Utilities,2024-08-01,207,GL-UTILIT
EXP-000126,PROP-00005,charlottes-ridge,property,Marketing,2026-03-04,381,GL-MARKET
EXP-000127,PROP-00005,charlottes-ridge,property,Marketing,2024-04-18,439,GL-MARKET
EXP-000128,PROP-00005,charlottes-ridge,property,Marketing,2024-11-28,349,GL-MARKET
EXP-000129,PROP-00005,charlottes-ridge,property,Marketing,2025-01-29,459,GL-MARKET
EXP-000130,PROP-00005,charlottes-ridge,property,Marketing,2025-01-11,285,GL-MARKET
EXP-000131,PROP-00005,charlottes-ridge,property,Marketing,2024-03-06,173,GL-MARKET
EXP-000132,PROP-00005,charlottes-ridge,property,Legal,2024-12-30,1365,GL-LEGAL
EXP-000133,PROP-00005,charlottes-ridge,property,Legal,2025-12-08,1790,GL-LEGAL
EXP-000134,PROP-00005,charlottes-ridge,property,CapEx,2026-07-07,4382,GL-CAPEX
EXP-000135,PROP-00005,charlottes-ridge,property,CapEx,2025-05-01,7625,GL-CAPEX
EXP-000136,PROP-00005,charlottes-ridge,property,Turn,2026-07-16,2871,GL-TURN
EXP-000137,PROP-00005,charlottes-ridge,property,Turn,2024-07-12,1968,GL-TURN
EXP-000138,PROP-00005,charlottes-ridge,property,Turn,2025-07-20,2080,GL-TURN
EXP-000139,PROP-00006,charlottes-ridge,property,HOA,2023-10-01,302,GL-HOA
EXP-000140,PROP-00006,charlottes-ridge,property,HOA,2024-01-01,304,GL-HOA
EXP-000141,PROP-00006,charlottes-ridge,property,Insurance,2024-01-01,1322,GL-INSURA
EXP-000142,PROP-00006,charlottes-ridge,property,HOA,2024-04-01,309,GL-HOA
EXP-000143,PROP-00006,charlottes-ridge,property,HOA,2024-07-01,311,GL-HOA
EXP-000144,PROP-00006,charlottes-ridge,property,HOA,2024-10-01,305,GL-HOA
EXP-000145,PROP-00006,charlottes-ridge,property,HOA,2025-01-01,303,GL-HOA
EXP-000146,PROP-00006,charlottes-ridge,property,Insurance,2025-01-01,1269,GL-INSURA
EXP-000147,PROP-00006,charlottes-ridge,property,HOA,2025-04-01,305,GL-HOA
EXP-000148,PROP-00006,charlottes-ridge,property,HOA,2025-07-01,300,GL-HOA
EXP-000149,PROP-00006,charlottes-ridge,property,HOA,2025-10-01,306,GL-HOA
EXP-000150,PROP-00006,charlottes-ridge,property,HOA,2026-01-01,302,GL-HOA
EXP-000151,PROP-00006,charlottes-ridge,property,Insurance,2026-01-01,1204,GL-INSURA
EXP-000152,PROP-00006,charlottes-ridge,property,HOA,2026-04-01,303,GL-HOA
EXP-000153,PROP-00006,charlottes-ridge,property,HOA,2026-07-01,311,GL-HOA
EXP-000154,PROP-00006,charlottes-ridge,property,Utilities,2026-03-01,254,GL-UTILIT
EXP-000155,PROP-00006,charlottes-ridge,property,Utilities,2026-04-01,232,GL-UTILIT
EXP-000156,PROP-00006,charlottes-ridge,property,Marketing,2025-08-22,451,GL-MARKET
EXP-000157,PROP-00006,charlottes-ridge,property,Marketing,2023-11-27,441,GL-MARKET
EXP-000158,PROP-00006,charlottes-ridge,property,Marketing,2026-07-04,383,GL-MARKET
EXP-000159,PROP-00006,charlottes-ridge,property,Marketing,2024-02-13,355,GL-MARKET
EXP-000160,PROP-00006,charlottes-ridge,property,Marketing,2025-03-14,489,GL-MARKET
EXP-000161,PROP-00006,charlottes-ridge,property,Marketing,2024-06-20,529,GL-MARKET
EXP-000162,PROP-00006,charlottes-ridge,property,Marketing,2024-04-13,501,GL-MARKET
EXP-000163,PROP-00006,charlottes-ridge,property,Legal,2024-12-02,1697,GL-LEGAL
EXP-000164,PROP-00006,charlottes-ridge,property,CapEx,2025-07-10,11493,GL-CAPEX
EXP-000165,PROP-00006,charlottes-ridge,property,CapEx,2025-04-30,7904,GL-CAPEX
EXP-000166,PROP-00006,charlottes-ridge,property,Turn,2025-10-02,2520,GL-TURN
EXP-000167,PROP-00006,charlottes-ridge,property,Turn,2025-09-05,2749,GL-TURN
EXP-000168,PROP-00006,charlottes-ridge,property,Turn,2025-02-17,2242,GL-TURN
EXP-000169,PROP-00007,charlottes-ridge,property,HOA,2023-10-01,397,GL-HOA
EXP-000170,PROP-00007,charlottes-ridge,property,HOA,2024-01-01,384,GL-HOA
EXP-000171,PROP-00007,charlottes-ridge,property,Insurance,2024-01-01,936,GL-INSURA
EXP-000172,PROP-00007,charlottes-ridge,property,HOA,2024-04-01,395,GL-HOA
EXP-000173,PROP-00007,charlottes-ridge,property,HOA,2024-07-01,385,GL-HOA
EXP-000174,PROP-00007,charlottes-ridge,property,HOA,2024-10-01,390,GL-HOA
EXP-000175,PROP-00007,charlottes-ridge,property,HOA,2025-01-01,388,GL-HOA
EXP-000176,PROP-00007,charlottes-ridge,property,Insurance,2025-01-01,925,GL-INSURA
EXP-000177,PROP-00007,charlottes-ridge,property,HOA,2025-04-01,390,GL-HOA
EXP-000178,PROP-00007,charlottes-ridge,property,HOA,2025-07-01,399,GL-HOA
EXP-000179,PROP-00007,charlottes-ridge,property,HOA,2025-10-01,387,GL-HOA
EXP-000180,PROP-00007,charlottes-ridge,property,HOA,2026-01-01,384,GL-HOA
EXP-000181,PROP-00007,charlottes-ridge,property,Insurance,2026-01-01,953,GL-INSURA
EXP-000182,PROP-00007,charlottes-ridge,property,HOA,2026-04-01,391,GL-HOA
EXP-000183,PROP-00007,charlottes-ridge,property,HOA,2026-07-01,389,GL-HOA
EXP-000184,PROP-00007,charlottes-ridge,property,Utilities,2024-07-01,241,GL-UTILIT
EXP-000185,PROP-00007,charlottes-ridge,property,Marketing,2025-04-10,676,GL-MARKET
EXP-000186,PROP-00007,charlottes-ridge,property,Marketing,2024-05-13,347,GL-MARKET
EXP-000187,PROP-00007,charlottes-ridge,property,Marketing,2025-06-24,349,GL-MARKET
EXP-000188,PROP-00007,charlottes-ridge,property,Marketing,2024-10-26,707,GL-MARKET
EXP-000189,PROP-00007,charlottes-ridge,property,Legal,2025-02-06,1435,GL-LEGAL
EXP-000190,PROP-00007,charlottes-ridge,property,Legal,2024-06-15,820,GL-LEGAL
EXP-000191,PROP-00007,charlottes-ridge,property,CapEx,2025-07-31,4168,GL-CAPEX
EXP-000192,PROP-00007,charlottes-ridge,property,CapEx,2024-02-02,2087,GL-CAPEX
EXP-000193,PROP-00007,charlottes-ridge,property,Turn,2025-05-23,1527,GL-TURN
EXP-000194,PROP-00007,charlottes-ridge,property,Turn,2024-01-04,2723,GL-TURN
EXP-000195,PROP-00007,charlottes-ridge,property,Turn,2025-03-24,958,GL-TURN
EXP-000196,PROP-00008,charlottes-ridge,property,HOA,2025-01-01,296,GL-HOA
EXP-000197,PROP-00008,charlottes-ridge,property,Insurance,2025-01-01,2145,GL-INSURA
EXP-000198,PROP-00008,charlottes-ridge,property,HOA,2025-04-01,289,GL-HOA
EXP-000199,PROP-00008,charlottes-ridge,property,HOA,2025-07-01,290,GL-HOA
EXP-000200,PROP-00008,charlottes-ridge,property,HOA,2025-10-01,294,GL-HOA
EXP-000201,PROP-00008,charlottes-ridge,property,HOA,2026-01-01,291,GL-HOA
EXP-000202,PROP-00008,charlottes-ridge,property,Insurance,2026-01-01,2079,GL-INSURA
EXP-000203,PROP-00008,charlottes-ridge,property,HOA,2026-04-01,296,GL-HOA
EXP-000204,PROP-00008,charlottes-ridge,property,HOA,2026-07-01,285,GL-HOA
EXP-000205,PROP-00008,charlottes-ridge,property,Marketing,2026-08-19,220,GL-MARKET
EXP-000206,PROP-00008,charlottes-ridge,property,Marketing,2024-12-25,633,GL-MARKET
EXP-000207,PROP-00008,charlottes-ridge,property,Legal,2025-02-18,1373,GL-LEGAL
EXP-000208,PROP-00008,charlottes-ridge,property,Turn,2026-05-10,3462,GL-TURN
EXP-000209,PROP-00009,charlottes-ridge,property,HOA,2023-10-01,202,GL-HOA
EXP-000210,PROP-00009,charlottes-ridge,property,HOA,2024-01-01,206,GL-HOA
EXP-000211,PROP-00009,charlottes-ridge,property,Insurance,2024-01-01,1087,GL-INSURA
EXP-000212,PROP-00009,charlottes-ridge,property,HOA,2024-04-01,208,GL-HOA
EXP-000213,PROP-00009,charlottes-ridge,property,HOA,2024-07-01,202,GL-HOA
EXP-000214,PROP-00009,charlottes-ridge,property,HOA,2024-10-01,201,GL-HOA
EXP-000215,PROP-00009,charlottes-ridge,property,HOA,2025-01-01,203,GL-HOA
EXP-000216,PROP-00009,charlottes-ridge,property,Insurance,2025-01-01,1137,GL-INSURA
EXP-000217,PROP-00009,charlottes-ridge,property,HOA,2025-04-01,206,GL-HOA
EXP-000218,PROP-00009,charlottes-ridge,property,HOA,2025-07-01,205,GL-HOA
EXP-000219,PROP-00009,charlottes-ridge,property,HOA,2025-10-01,203,GL-HOA
EXP-000220,PROP-00009,charlottes-ridge,property,HOA,2026-01-01,207,GL-HOA
EXP-000221,PROP-00009,charlottes-ridge,property,Insurance,2026-01-01,1085,GL-INSURA
EXP-000222,PROP-00009,charlottes-ridge,property,HOA,2026-04-01,200,GL-HOA
EXP-000223,PROP-00009,charlottes-ridge,property,HOA,2026-07-01,204,GL-HOA
EXP-000224,PROP-00009,charlottes-ridge,property,Utilities,2025-02-01,147,GL-UTILIT
EXP-000225,PROP-00009,charlottes-ridge,property,Utilities,2026-03-01,215,GL-UTILIT
EXP-000226,PROP-00009,charlottes-ridge,property,Utilities,2026-04-01,193,GL-UTILIT
EXP-000227,PROP-00009,charlottes-ridge,property,Marketing,2025-03-28,548,GL-MARKET
EXP-000228,PROP-00009,charlottes-ridge,property,Marketing,2025-11-29,300,GL-MARKET
EXP-000229,PROP-00009,charlottes-ridge,property,Marketing,2025-08-21,571,GL-MARKET
EXP-000230,PROP-00009,charlottes-ridge,property,Marketing,2024-02-03,659,GL-MARKET
EXP-000231,PROP-00009,charlottes-ridge,property,Marketing,2026-04-02,209,GL-MARKET
EXP-000232,PROP-00009,charlottes-ridge,property,Legal,2026-08-08,2109,GL-LEGAL
EXP-000233,PROP-00009,charlottes-ridge,property,CapEx,2024-04-08,5823,GL-CAPEX
EXP-000234,PROP-00009,charlottes-ridge,property,CapEx,2023-11-24,4135,GL-CAPEX
EXP-000235,PROP-00009,charlottes-ridge,property,CapEx,2025-04-05,6227,GL-CAPEX
EXP-000236,PROP-00009,charlottes-ridge,property,Turn,2023-10-19,2483,GL-TURN
EXP-000237,PROP-00009,charlottes-ridge,property,Turn,2024-03-22,1916,GL-TURN
EXP-000238,PROP-00009,charlottes-ridge,property,Turn,2025-09-04,2917,GL-TURN
EXP-000239,PROP-00010,charlottes-ridge,property,HOA,2023-10-01,396,GL-HOA
EXP-000240,PROP-00010,charlottes-ridge,property,HOA,2024-01-01,410,GL-HOA
EXP-000241,PROP-00010,charlottes-ridge,property,Insurance,2024-01-01,2116,GL-INSURA
EXP-000242,PROP-00010,charlottes-ridge,property,HOA,2024-04-01,414,GL-HOA
EXP-000243,PROP-00010,charlottes-ridge,property,HOA,2024-07-01,405,GL-HOA
EXP-000244,PROP-00010,charlottes-ridge,property,HOA,2024-10-01,410,GL-HOA
EXP-000245,PROP-00010,charlottes-ridge,property,HOA,2025-01-01,411,GL-HOA
EXP-000246,PROP-00010,charlottes-ridge,property,Insurance,2025-01-01,2049,GL-INSURA
EXP-000247,PROP-00010,charlottes-ridge,property,HOA,2025-04-01,397,GL-HOA
EXP-000248,PROP-00010,charlottes-ridge,property,HOA,2025-07-01,417,GL-HOA
EXP-000249,PROP-00010,charlottes-ridge,property,HOA,2025-10-01,400,GL-HOA
EXP-000250,PROP-00010,charlottes-ridge,property,HOA,2026-01-01,402,GL-HOA
EXP-000251,PROP-00010,charlottes-ridge,property,Insurance,2026-01-01,2230,GL-INSURA
EXP-000252,PROP-00010,charlottes-ridge,property,HOA,2026-04-01,400,GL-HOA
EXP-000253,PROP-00010,charlottes-ridge,property,HOA,2026-07-01,412,GL-HOA
EXP-000254,PROP-00010,charlottes-ridge,property,Utilities,2024-07-01,250,GL-UTILIT
EXP-000255,PROP-00010,charlottes-ridge,property,Utilities,2024-08-01,236,GL-UTILIT
EXP-000256,PROP-00010,charlottes-ridge,property,Utilities,2024-09-01,241,GL-UTILIT
EXP-000257,PROP-00010,charlottes-ridge,property,Marketing,2025-07-13,758,GL-MARKET
EXP-000258,PROP-00010,charlottes-ridge,property,Marketing,2024-12-26,575,GL-MARKET
EXP-000259,PROP-00010,charlottes-ridge,property,Marketing,2025-12-12,310,GL-MARKET
EXP-000260,PROP-00010,charlottes-ridge,property,Marketing,2023-10-13,142,GL-MARKET
EXP-000261,PROP-00010,charlottes-ridge,property,Marketing,2026-03-24,675,GL-MARKET
EXP-000262,PROP-00010,charlottes-ridge,property,Marketing,2024-02-18,298,GL-MARKET
EXP-000263,PROP-00010,charlottes-ridge,property,Legal,2025-08-31,1293,GL-LEGAL
EXP-000264,PROP-00010,charlottes-ridge,property,Legal,2024-09-28,1150,GL-LEGAL
EXP-000265,PROP-00010,charlottes-ridge,property,CapEx,2024-03-11,5685,GL-CAPEX
EXP-000266,PROP-00010,charlottes-ridge,property,CapEx,2025-09-12,8000,GL-CAPEX
EXP-000267,PROP-00010,charlottes-ridge,property,Turn,2025-07-24,1579,GL-TURN
EXP-000268,PROP-00011,charlottes-ridge,property,HOA,2023-10-01,322,GL-HOA
EXP-000269,PROP-00011,charlottes-ridge,property,HOA,2024-01-01,329,GL-HOA
EXP-000270,PROP-00011,charlottes-ridge,property,Insurance,2024-01-01,1133,GL-INSURA
EXP-000271,PROP-00011,charlottes-ridge,property,HOA,2024-04-01,332,GL-HOA
EXP-000272,PROP-00011,charlottes-ridge,property,HOA,2024-07-01,329,GL-HOA
EXP-000273,PROP-00011,charlottes-ridge,property,HOA,2024-10-01,321,GL-HOA
EXP-000274,PROP-00011,charlottes-ridge,property,HOA,2025-01-01,336,GL-HOA
EXP-000275,PROP-00011,charlottes-ridge,property,Insurance,2025-01-01,1141,GL-INSURA
EXP-000276,PROP-00011,charlottes-ridge,property,HOA,2025-04-01,334,GL-HOA
EXP-000277,PROP-00011,charlottes-ridge,property,HOA,2025-07-01,322,GL-HOA
EXP-000278,PROP-00011,charlottes-ridge,property,HOA,2025-10-01,324,GL-HOA
EXP-000279,PROP-00011,charlottes-ridge,property,HOA,2026-01-01,329,GL-HOA
EXP-000280,PROP-00011,charlottes-ridge,property,Insurance,2026-01-01,1135,GL-INSURA
EXP-000281,PROP-00011,charlottes-ridge,property,HOA,2026-04-01,336,GL-HOA
EXP-000282,PROP-00011,charlottes-ridge,property,HOA,2026-07-01,330,GL-HOA
EXP-000283,PROP-00011,charlottes-ridge,property,Utilities,2026-04-01,221,GL-UTILIT
EXP-000284,PROP-00011,charlottes-ridge,property,Utilities,2026-05-01,223,GL-UTILIT
EXP-000285,PROP-00011,charlottes-ridge,property,Marketing,2026-07-26,386,GL-MARKET
EXP-000286,PROP-00011,charlottes-ridge,property,Marketing,2026-09-30,551,GL-MARKET
EXP-000287,PROP-00011,charlottes-ridge,property,Marketing,2024-01-27,485,GL-MARKET
EXP-000288,PROP-00011,charlottes-ridge,property,Marketing,2026-01-29,307,GL-MARKET
EXP-000289,PROP-00011,charlottes-ridge,property,Legal,2024-01-10,1691,GL-LEGAL
EXP-000290,PROP-00011,charlottes-ridge,property,Legal,2025-03-13,849,GL-LEGAL
EXP-000291,PROP-00011,charlottes-ridge,property,CapEx,2026-03-09,9824,GL-CAPEX
EXP-000292,PROP-00011,charlottes-ridge,property,CapEx,2026-03-30,1445,GL-CAPEX
EXP-000293,PROP-00011,charlottes-ridge,property,Turn,2025-06-02,1958,GL-TURN
EXP-000294,PROP-00011,charlottes-ridge,property,Turn,2024-08-04,3162,GL-TURN
EXP-000295,PROP-00012,charlottes-ridge,property,HOA,2024-04-01,162,GL-HOA
EXP-000296,PROP-00012,charlottes-ridge,property,HOA,2024-07-01,159,GL-HOA
EXP-000297,PROP-00012,charlottes-ridge,property,HOA,2024-10-01,160,GL-HOA
EXP-000298,PROP-00012,charlottes-ridge,property,HOA,2025-01-01,165,GL-HOA
EXP-000299,PROP-00012,charlottes-ridge,property,Insurance,2025-01-01,942,GL-INSURA
EXP-000300,PROP-00012,charlottes-ridge,property,HOA,2025-04-01,166,GL-HOA
