paymentId,leaseId,propertyId,residentId,dueDate,amountDue,amountPaid,paidDate,daysLate,status
PAY-0000024,LSE-000002,PROP-00001,RES-00002,2025-09-01,2770,2770,2025-09-03,0,paid
PAY-0000025,LSE-000003,PROP-00001,RES-00003,2025-10-01,2680,2680,2025-10-03,0,paid
PAY-0000026,LSE-000003,PROP-00001,RES-00003,2025-11-01,2680,1416,2025-12-11,40,partial
PAY-0000027,LSE-000003,PROP-00001,RES-00003,2025-12-01,2680,2680,2025-12-02,0,paid
PAY-0000028,LSE-000003,PROP-00001,RES-00003,2026-01-01,2680,2680,2026-01-03,0,paid
PAY-0000029,LSE-000003,PROP-00001,RES-00003,2026-02-01,2680,2680,2026-02-03,0,paid
PAY-0000030,LSE-000003,PROP-00001,RES-00003,2026-03-01,2680,2680,2026-03-01,0,paid
PAY-0000031,LSE-000003,PROP-00001,RES-00003,2026-04-01,2680,2680,2026-04-03,0,paid
PAY-0000032,LSE-000003,PROP-00001,RES-00003,2026-05-01,2680,2680,2026-05-01,0,paid
PAY-0000033,LSE-000003,PROP-00001,RES-00003,2026-06-01,2680,1012,2026-07-11,40,partial
PAY-0000034,LSE-000003,PROP-00001,RES-00003,2026-07-01,2680,2680,2026-07-02,0,paid
PAY-0000035,LSE-000003,PROP-00001,RES-00003,2026-08-01,2680,2680,2026-08-03,0,paid
PAY-0000036,LSE-000003,PROP-00001,RES-00003,2026-09-01,2680,2680,2026-09-03,0,paid
PAY-0000037,LSE-000004,PROP-00002,RES-00004,2023-10-01,2465,2465,2023-10-03,0,paid
PAY-0000038,LSE-000004,PROP-00002,RES-00004,2023-11-01,2465,2465,2023-11-02,0,paid
PAY-0000039,LSE-000004,PROP-00002,RES-00004,2023-12-01,2465,2465,2023-12-01,0,paid
PAY-0000040,LSE-000004,PROP-00002,RES-00004,2024-01-01,2465,2465,2024-01-03,0,paid
PAY-0000041,LSE-000004,PROP-00002,RES-00004,2024-02-01,2465,0,,,missed
PAY-0000042,LSE-000004,PROP-00002,RES-00004,2024-03-01,2465,2465,2024-03-02,0,paid
PAY-0000043,LSE-000004,PROP-00002,RES-00004,2024-04-01,2465,2465,2024-04-07,6,late
PAY-0000044,LSE-000004,PROP-00002,RES-00004,2024-05-01,2465,2465,2024-05-03,0,paid
PAY-0000045,LSE-000004,PROP-00002,RES-00004,2024-06-01,2465,2465,2024-06-02,0,paid
PAY-0000046,LSE-000004,PROP-00002,RES-00004,2024-07-01,2465,2465,2024-07-01,0,paid
PAY-0000047,LSE-000004,PROP-00002,RES-00004,2024-08-01,2465,2465,2024-08-01,0,paid
PAY-0000048,LSE-000004,PROP-00002,RES-00004,2024-09-01,2465,2465,2024-09-03,0,paid
PAY-0000049,LSE-000004,PROP-00002,RES-00004,2024-10-01,2465,2465,2024-10-02,0,paid
PAY-0000050,LSE-000004,PROP-00002,RES-00004,2024-11-01,2465,2465,2024-11-03,0,paid
PAY-0000051,LSE-000004,PROP-00002,RES-00004,2024-12-01,2465,2465,2024-12-01,0,paid
PAY-0000052,LSE-000004,PROP-00002,RES-00004,2025-01-01,2465,2465,2025-01-02,0,paid
PAY-0000053,LSE-000004,PROP-00002,RES-00004,2025-02-01,2465,2465,2025-02-01,0,paid
PAY-0000054,LSE-000005,PROP-00002,RES-00005,2025-06-01,2430,2430,2025-06-02,0,paid
PAY-0000055,LSE-000005,PROP-00002,RES-00005,2025-07-01,2430,2430,2025-07-01,0,paid
PAY-0000056,LSE-000005,PROP-00002,RES-00005,2025-08-01,2430,2430,2025-08-01,0,paid
PAY-0000057,LSE-000005,PROP-00002,RES-00005,2025-09-01,2430,2430,2025-09-01,0,paid
PAY-0000058,LSE-000005,PROP-00002,RES-00005,2025-10-01,2430,2430,2025-10-29,28,late
PAY-0000059,LSE-000005,PROP-00002,RES-00005,2025-11-01,2430,2430,2025-11-03,0,paid
PAY-0000060,LSE-000005,PROP-00002,RES-00005,2025-12-01,2430,2430,2025-12-01,0,paid
PAY-0000061,LSE-000005,PROP-00002,RES-00005,2026-01-01,2430,1013,2026-01-11,10,partial
PAY-0000062,LSE-000005,PROP-00002,RES-00005,2026-02-01,2430,2430,2026-02-03,0,paid
PAY-0000063,LSE-000005,PROP-00002,RES-00005,2026-03-01,2430,2430,2026-03-02,0,paid
PAY-0000064,LSE-000005,PROP-00002,RES-00005,2026-04-01,2430,2430,2026-04-03,0,paid
PAY-0000065,LSE-000005,PROP-00002,RES-00005,2026-05-01,2430,2430,2026-05-03,0,paid
PAY-0000066,LSE-000005,PROP-00002,RES-00005,2026-06-01,2430,2430,2026-06-01,0,paid
PAY-0000067,LSE-000005,PROP-00002,RES-00005,2026-07-01,2430,2430,2026-07-03,0,paid
PAY-0000068,LSE-000005,PROP-00002,RES-00005,2026-08-01,2430,2430,2026-08-02,0,paid
PAY-0000069,LSE-000005,PROP-00002,RES-00005,2026-09-01,2430,2430,2026-09-02,0,paid
PAY-0000070,LSE-000006,PROP-00003,RES-00006,2024-04-01,2760,0,,,missed
PAY-0000071,LSE-000006,PROP-00003,RES-00006,2024-05-01,2760,2760,2024-05-01,0,paid
PAY-0000072,LSE-000006,PROP-00003,RES-00006,2024-06-01,2760,2760,2024-06-01,0,paid
PAY-0000073,LSE-000006,PROP-00003,RES-00006,2024-07-01,2760,1890,2024-08-02,32,partial
PAY-0000074,LSE-000006,PROP-00003,RES-00006,2024-08-01,2760,2760,2024-08-02,0,paid
PAY-0000075,LSE-000006,PROP-00003,RES-00006,2024-09-01,2760,1330,2024-10-14,43,partial
PAY-0000076,LSE-000006,PROP-00003,RES-00006,2024-10-01,2760,0,,,missed
PAY-0000077,LSE-000006,PROP-00003,RES-00006,2024-11-01,2760,0,,,missed
PAY-0000078,LSE-000006,PROP-00003,RES-00006,2024-12-01,2760,2760,2024-12-01,0,paid
PAY-0000079,LSE-000006,PROP-00003,RES-00006,2025-01-01,2760,2760,2025-01-01,0,paid
PAY-0000080,LSE-000006,PROP-00003,RES-00006,2025-02-01,2760,2760,2025-02-02,0,paid
PAY-0000081,LSE-000006,PROP-00003,RES-00006,2025-03-01,2760,2760,2025-03-03,0,paid
PAY-0000082,LSE-000006,PROP-00003,RES-00006,2025-04-01,2760,2760,2025-04-02,0,paid
PAY-0000083,LSE-000006,PROP-00003,RES-00006,2025-05-01,2760,2760,2025-05-01,0,paid
PAY-0000084,LSE-000006,PROP-00003,RES-00006,2025-06-01,2760,2760,2025-06-01,0,paid
PAY-0000085,LSE-000006,PROP-00003,RES-00006,2025-07-01,2760,2760,2025-07-03,0,paid
PAY-0000086,LSE-000006,PROP-00003,RES-00006,2025-08-01,2760,2760,2025-08-03,0,paid
PAY-0000087,LSE-000006,PROP-00003,RES-00006,2025-09-01,2760,2760,2025-09-01,0,paid
PAY-0000088,LSE-000007,PROP-00003,RES-00007,2025-11-01,2630,2630,2025-11-03,0,paid
PAY-0000089,LSE-000007,PROP-00003,RES-00007,2025-12-01,2630,2630,2025-12-02,0,paid
PAY-0000090,LSE-000007,PROP-00003,RES-00007,2026-01-01,2630,2630,2026-01-03,0,paid
PAY-0000091,LSE-000007,PROP-00003,RES-00007,2026-02-01,2630,2630,2026-02-03,0,paid
PAY-0000092,LSE-000007,PROP-00003,RES-00007,2026-03-01,2630,2630,2026-03-03,0,paid
PAY-0000093,LSE-000007,PROP-00003,RES-00007,2026-04-01,2630,2630,2026-04-03,0,paid
PAY-0000094,LSE-000007,PROP-00003,RES-00007,2026-05-01,2630,2630,2026-05-03,0,paid
PAY-0000095,LSE-000007,PROP-00003,RES-00007,2026-06-01,2630,2630,2026-06-01,0,paid
PAY-0000096,LSE-000007,PROP-00003,RES-00007,2026-07-01,2630,2630,2026-07-02,0,paid
PAY-0000097,LSE-000007,PROP-00003,RES-00007,2026-08-01,2630,2630,2026-08-01,0,paid
PAY-0000098,LSE-000007,PROP-00003,RES-00007,2026-09-01,2630,2630,2026-09-02,0,paid
PAY-0000099,LSE-000008,PROP-00004,RES-00008,2023-10-01,2680,2680,2023-10-02,0,paid
PAY-0000100,LSE-000008,PROP-00004,RES-00008,2023-11-01,2680,2680,2023-11-02,0,paid
PAY-0000101,LSE-000008,PROP-00004,RES-00008,2023-12-01,2680,2680,2023-12-02,0,paid
PAY-0000102,LSE-000008,PROP-00004,RES-00008,2024-01-01,2680,2680,2024-01-28,27,late
PAY-0000103,LSE-000008,PROP-00004,RES-00008,2024-02-01,2680,2680,2024-02-01,0,paid
PAY-0000104,LSE-000008,PROP-00004,RES-00008,2024-03-01,2680,2680,2024-03-01,0,paid
PAY-0000105,LSE-000008,PROP-00004,RES-00008,2024-04-01,2680,2680,2024-04-02,0,paid
PAY-0000106,LSE-000008,PROP-00004,RES-00008,2024-05-01,2680,2680,2024-05-01,0,paid
PAY-0000107,LSE-000009,PROP-00004,RES-00008,2024-07-01,2835,2835,2024-07-01,0,paid
PAY-0000108,LSE-000009,PROP-00004,RES-00008,2024-08-01,2835,2835,2024-08-02,0,paid
PAY-0000109,LSE-000009,PROP-00004,RES-00008,2024-09-01,2835,2835,2024-09-02,0,paid
PAY-0000110,LSE-000009,PROP-00004,RES-00008,2024-10-01,2835,2835,2024-10-02,0,paid
PAY-0000111,LSE-000009,PROP-00004,RES-00008,2024-11-01,2835,2835,2024-11-01,0,paid
PAY-0000112,LSE-000009,PROP-00004,RES-00008,2024-12-01,2835,2835,2024-12-02,0,paid
PAY-0000113,LSE-000009,PROP-00004,RES-00008,2025-01-01,2835,2835,2025-01-01,0,paid
PAY-0000114,LSE-000009,PROP-00004,RES-00008,2025-02-01,2835,2835,2025-02-03,0,paid
PAY-0000115,LSE-000009,PROP-00004,RES-00008,2025-03-01,2835,2835,2025-03-01,0,paid
PAY-0000116,LSE-000009,PROP-00004,RES-00008,2025-04-01,2835,2835,2025-04-01,0,paid
PAY-0000117,LSE-000009,PROP-00004,RES-00008,2025-05-01,2835,2835,2025-05-01,0,paid
PAY-0000118,LSE-000009,PROP-00004,RES-00008,2025-06-01,2835,2835,2025-06-01,0,paid
PAY-0000119,LSE-000009,PROP-00004,RES-00008,2025-07-01,2835,2835,2025-07-03,0,paid
PAY-0000120,LSE-000009,PROP-00004,RES-00008,2025-08-01,2835,2835,2025-08-02,0,paid
PAY-0000121,LSE-000009,PROP-00004,RES-00008,2025-09-01,2835,954,2025-09-28,27,partial
PAY-0000122,LSE-000009,PROP-00004,RES-00008,2025-10-01,2835,2835,2025-10-03,0,paid
PAY-0000123,LSE-000009,PROP-00004,RES-00008,2025-11-01,2835,2835,2025-11-01,0,paid
PAY-0000124,LSE-000009,PROP-00004,RES-00008,2025-12-01,2835,2835,2025-12-03,0,paid
PAY-0000125,LSE-000009,PROP-00004,RES-00008,2026-01-01,2835,2835,2026-01-02,0,paid
PAY-0000126,LSE-000009,PROP-00004,RES-00008,2026-02-01,2835,2835,2026-02-03,0,paid
PAY-0000127,LSE-000009,PROP-00004,RES-00008,2026-03-01,2835,2835,2026-03-02,0,paid
PAY-0000128,LSE-000009,PROP-00004,RES-00008,2026-04-01,2835,2835,2026-04-01,0,paid
PAY-0000129,LSE-000009,PROP-00004,RES-00008,2026-05-01,2835,2835,2026-05-03,0,paid
PAY-0000130,LSE-000009,PROP-00004,RES-00008,2026-06-01,2835,2835,2026-06-01,0,paid
PAY-0000131,LSE-000010,PROP-00004,RES-00008,2026-08-01,2955,2955,2026-08-02,0,paid
PAY-0000132,LSE-000010,PROP-00004,RES-00008,2026-09-01,2955,2955,2026-09-03,0,paid
PAY-0000133,LSE-000011,PROP-00005,RES-00009,2023-10-01,2445,2445,2023-10-03,0,paid
PAY-0000134,LSE-000011,PROP-00005,RES-00009,2023-11-01,2445,2445,2023-11-02,0,paid
PAY-0000135,LSE-000011,PROP-00005,RES-00009,2023-12-01,2445,0,,,missed
PAY-0000136,LSE-000011,PROP-00005,RES-00009,2024-01-01,2445,2445,2024-01-01,0,paid
PAY-0000137,LSE-000011,PROP-00005,RES-00009,2024-02-01,2445,2445,2024-02-02,0,paid
PAY-0000138,LSE-000011,PROP-00005,RES-00009,2024-03-01,2445,2445,2024-03-03,0,paid
PAY-0000139,LSE-000011,PROP-00005,RES-00009,2024-04-01,2445,2445,2024-04-03,0,paid
PAY-0000140,LSE-000011,PROP-00005,RES-00009,2024-05-01,2445,2445,2024-05-02,0,paid
PAY-0000141,LSE-000011,PROP-00005,RES-00009,2024-06-01,2445,2445,2024-06-03,0,paid
PAY-0000142,LSE-000012,PROP-00005,RES-00010,2024-09-01,2560,2560,2024-09-01,0,paid
PAY-0000143,LSE-000012,PROP-00005,RES-00010,2024-10-01,2560,2560,2024-10-07,6,late
PAY-0000144,LSE-000012,PROP-00005,RES-00010,2024-11-01,2560,2560,2024-11-03,0,paid
PAY-0000145,LSE-000012,PROP-00005,RES-00010,2024-12-01,2560,2560,2024-12-01,0,paid
PAY-0000146,LSE-000012,PROP-00005,RES-00010,2025-01-01,2560,2560,2025-01-01,0,paid
PAY-0000147,LSE-000012,PROP-00005,RES-00010,2025-02-01,2560,2560,2025-02-02,0,paid
PAY-0000148,LSE-000012,PROP-00005,RES-00010,2025-03-01,2560,2560,2025-03-01,0,paid
PAY-0000149,LSE-000012,PROP-00005,RES-00010,2025-04-01,2560,2560,2025-04-02,0,paid
PAY-0000150,LSE-000012,PROP-00005,RES-00010,2025-05-01,2560,2560,2025-05-02,0,paid
PAY-0000151,LSE-000012,PROP-00005,RES-00010,2025-06-01,2560,1486,2025-07-07,36,partial
PAY-0000152,LSE-000012,PROP-00005,RES-00010,2025-07-01,2560,2560,2025-07-02,0,paid
PAY-0000153,LSE-000012,PROP-00005,RES-00010,2025-08-01,2560,2560,2025-08-03,0,paid
PAY-0000154,LSE-000013,PROP-00005,RES-00011,2025-09-01,2545,2545,2025-09-01,0,paid
PAY-0000155,LSE-000013,PROP-00005,RES-00011,2025-10-01,2545,2545,2025-10-03,0,paid
PAY-0000156,LSE-000013,PROP-00005,RES-00011,2025-11-01,2545,2545,2025-11-07,6,late
PAY-0000157,LSE-000013,PROP-00005,RES-00011,2025-12-01,2545,0,,,missed
PAY-0000158,LSE-000013,PROP-00005,RES-00011,2026-01-01,2545,2545,2026-01-03,0,paid
PAY-0000159,LSE-000013,PROP-00005,RES-00011,2026-02-01,2545,2545,2026-02-01,0,paid
PAY-0000160,LSE-000013,PROP-00005,RES-00011,2026-03-01,2545,2545,2026-03-05,4,late
PAY-0000161,LSE-000013,PROP-00005,RES-00011,2026-04-01,2545,2545,2026-04-01,0,paid
PAY-0000162,LSE-000013,PROP-00005,RES-00011,2026-05-01,2545,2545,2026-05-02,0,paid
PAY-0000163,LSE-000013,PROP-00005,RES-00011,2026-06-01,2545,2545,2026-06-17,16,late
PAY-0000164,LSE-000013,PROP-00005,RES-00011,2026-07-01,2545,2545,2026-07-01,0,paid
PAY-0000165,LSE-000013,PROP-00005,RES-00011,2026-08-01,2545,2545,2026-08-02,0,paid
PAY-0000166,LSE-000013,PROP-00005,RES-00011,2026-09-01,2545,2545,2026-09-01,0,paid
PAY-0000167,LSE-000014,PROP-00006,RES-00012,2024-03-01,2790,2790,2024-03-03,0,paid
PAY-0000168,LSE-000014,PROP-00006,RES-00012,2024-04-01,2790,2790,2024-04-01,0,paid
PAY-0000169,LSE-000014,PROP-00006,RES-00012,2024-05-01,2790,2790,2024-05-03,0,paid
PAY-0000170,LSE-000014,PROP-00006,RES-00012,2024-06-01,2790,2790,2024-06-01,0,paid
PAY-0000171,LSE-000014,PROP-00006,RES-00012,2024-07-01,2790,2790,2024-07-03,0,paid
PAY-0000172,LSE-000014,PROP-00006,RES-00012,2024-08-01,2790,2790,2024-08-03,0,paid
PAY-0000173,LSE-000014,PROP-00006,RES-00012,2024-09-01,2790,2790,2024-09-02,0,paid
PAY-0000174,LSE-000014,PROP-00006,RES-00012,2024-10-01,2790,2790,2024-10-03,0,paid
PAY-0000175,LSE-000014,PROP-00006,RES-00012,2024-11-01,2790,2790,2024-11-01,0,paid
PAY-0000176,LSE-000014,PROP-00006,RES-00012,2024-12-01,2790,2790,2024-12-01,0,paid
PAY-0000177,LSE-000014,PROP-00006,RES-00012,2025-01-01,2790,2790,2025-01-01,0,paid
PAY-0000178,LSE-000014,PROP-00006,RES-00012,2025-02-01,2790,2790,2025-02-01,0,paid
PAY-0000179,LSE-000014,PROP-00006,RES-00012,2025-03-01,2790,2790,2025-03-01,0,paid
PAY-0000180,LSE-000014,PROP-00006,RES-00012,2025-04-01,2790,2790,2025-04-01,0,paid
PAY-0000181,LSE-000014,PROP-00006,RES-00012,2025-05-01,2790,2790,2025-05-01,0,paid
PAY-0000182,LSE-000014,PROP-00006,RES-00012,2025-06-01,2790,2790,2025-06-01,0,paid
PAY-0000183,LSE-000014,PROP-00006,RES-00012,2025-07-01,2790,2790,2025-07-02,0,paid
PAY-0000184,LSE-000014,PROP-00006,RES-00012,2025-08-01,2790,2790,2025-08-02,0,paid
PAY-0000185,LSE-000014,PROP-00006,RES-00012,2025-09-01,2790,2790,2025-09-03,0,paid
PAY-0000186,LSE-000014,PROP-00006,RES-00012,2025-10-01,2790,2790,2025-10-01,0,paid
PAY-0000187,LSE-000014,PROP-00006,RES-00012,2025-11-01,2790,2790,2025-11-03,0,paid
PAY-0000188,LSE-000014,PROP-00006,RES-00012,2025-12-01,2790,2790,2025-12-02,0,paid
PAY-0000189,LSE-000014,PROP-00006,RES-00012,2026-01-01,2790,2790,2026-01-02,0,paid
PAY-0000190,LSE-000014,PROP-00006,RES-00012,2026-02-01,2790,2790,2026-02-02,0,paid
PAY-0000191,LSE-000015,PROP-00006,RES-00012,2026-05-01,2865,2865,2026-05-01,0,paid
PAY-0000192,LSE-000015,PROP-00006,RES-00012,2026-06-01,2865,2865,2026-06-02,0,paid
PAY-0000193,LSE-000015,PROP-00006,RES-00012,2026-07-01,2865,2865,2026-07-03,0,paid
PAY-0000194,LSE-000015,PROP-00006,RES-00012,2026-08-01,2865,2865,2026-08-01,0,paid
PAY-0000195,LSE-000015,PROP-00006,RES-00012,2026-09-01,2865,2865,2026-09-01,0,paid
PAY-0000196,LSE-000016,PROP-00007,RES-00013,2023-10-01,2650,2650,2023-10-02,0,paid
PAY-0000197,LSE-000016,PROP-00007,RES-00013,2023-11-01,2650,2650,2023-11-02,0,paid
PAY-0000198,LSE-000016,PROP-00007,RES-00013,2023-12-01,2650,2650,2023-12-02,0,paid
PAY-0000199,LSE-000016,PROP-00007,RES-00013,2024-01-01,2650,2650,2024-01-03,0,paid
PAY-0000200,LSE-000016,PROP-00007,RES-00013,2024-02-01,2650,2650,2024-02-03,0,paid
PAY-0000201,LSE-000016,PROP-00007,RES-00013,2024-03-01,2650,2650,2024-03-03,0,paid
PAY-0000202,LSE-000016,PROP-00007,RES-00013,2024-04-01,2650,2650,2024-04-01,0,paid
PAY-0000203,LSE-000016,PROP-00007,RES-00013,2024-05-01,2650,2650,2024-05-01,0,paid
PAY-0000204,LSE-000016,PROP-00007,RES-00013,2024-06-01,2650,2650,2024-06-02,0,paid
PAY-0000205,LSE-000017,PROP-00007,RES-00013,2024-08-01,2820,2820,2024-08-03,0,paid
PAY-0000206,LSE-000017,PROP-00007,RES-00013,2024-09-01,2820,2820,2024-09-03,0,paid
PAY-0000207,LSE-000017,PROP-00007,RES-00013,2024-10-01,2820,2820,2024-10-03,0,paid
PAY-0000208,LSE-000017,PROP-00007,RES-00013,2024-11-01,2820,2820,2024-11-02,0,paid
PAY-0000209,LSE-000017,PROP-00007,RES-00013,2024-12-01,2820,2820,2024-12-02,0,paid
PAY-0000210,LSE-000017,PROP-00007,RES-00013,2025-01-01,2820,2820,2025-01-02,0,paid
PAY-0000211,LSE-000017,PROP-00007,RES-00013,2025-02-01,2820,2820,2025-02-02,0,paid
PAY-0000212,LSE-000017,PROP-00007,RES-00013,2025-03-01,2820,2820,2025-03-01,0,paid
PAY-0000213,LSE-000017,PROP-00007,RES-00013,2025-04-01,2820,2820,2025-04-02,0,paid
PAY-0000214,LSE-000017,PROP-00007,RES-00013,2025-05-01,2820,2820,2025-05-02,0,paid
PAY-0000215,LSE-000017,PROP-00007,RES-00013,2025-06-01,2820,2820,2025-06-01,0,paid
PAY-0000216,LSE-000017,PROP-00007,RES-00013,2025-07-01,2820,2820,2025-07-01,0,paid
PAY-0000217,LSE-000018,PROP-00007,RES-00014,2025-08-01,2490,2490,2025-08-03,0,paid
PAY-0000218,LSE-000018,PROP-00007,RES-00014,2025-09-01,2490,2490,2025-09-03,0,paid
PAY-0000219,LSE-000018,PROP-00007,RES-00014,2025-10-01,2490,2490,2025-10-02,0,paid
PAY-0000220,LSE-000018,PROP-00007,RES-00014,2025-11-01,2490,2490,2025-11-02,0,paid
PAY-0000221,LSE-000018,PROP-00007,RES-00014,2025-12-01,2490,2490,2025-12-02,0,paid
PAY-0000222,LSE-000018,PROP-00007,RES-00014,2026-01-01,2490,2490,2026-01-02,0,paid
PAY-0000223,LSE-000018,PROP-00007,RES-00014,2026-02-01,2490,2490,2026-02-02,0,paid
PAY-0000224,LSE-000018,PROP-00007,RES-00014,2026-03-01,2490,2490,2026-03-01,0,paid
PAY-0000225,LSE-000018,PROP-00007,RES-00014,2026-04-01,2490,2490,2026-04-03,0,paid
PAY-0000226,LSE-000018,PROP-00007,RES-00014,2026-05-01,2490,2490,2026-05-02,0,paid
PAY-0000227,LSE-000018,PROP-00007,RES-00014,2026-06-01,2490,2490,2026-06-01,0,paid
PAY-0000228,LSE-000018,PROP-00007,RES-00014,2026-07-01,2490,2490,2026-07-02,0,paid
PAY-0000229,LSE-000018,PROP-00007,RES-00014,2026-08-01,2490,2490,2026-08-02,0,paid
PAY-0000230,LSE-000018,PROP-00007,RES-00014,2026-09-01,2490,2490,2026-09-03,0,paid
PAY-0000231,LSE-000019,PROP-00008,RES-00015,2024-12-01,2950,2950,2024-12-02,0,paid
PAY-0000232,LSE-000019,PROP-00008,RES-00015,2025-01-01,2950,2296,2025-02-15,45,partial
PAY-0000233,LSE-000019,PROP-00008,RES-00015,2025-02-01,2950,2950,2025-02-01,0,paid
PAY-0000234,LSE-000019,PROP-00008,RES-00015,2025-03-01,2950,2950,2025-03-02,0,paid
PAY-0000235,LSE-000019,PROP-00008,RES-00015,2025-04-01,2950,2950,2025-04-02,0,paid
PAY-0000236,LSE-000019,PROP-00008,RES-00015,2025-05-01,2950,2950,2025-05-02,0,paid
PAY-0000237,LSE-000019,PROP-00008,RES-00015,2025-06-01,2950,2950,2025-06-03,0,paid
PAY-0000238,LSE-000019,PROP-00008,RES-00015,2025-07-01,2950,2950,2025-07-03,0,paid
PAY-0000239,LSE-000019,PROP-00008,RES-00015,2025-08-01,2950,2950,2025-08-01,0,paid
PAY-0000240,LSE-000019,PROP-00008,RES-00015,2025-09-01,2950,2950,2025-09-01,0,paid
PAY-0000241,LSE-000019,PROP-00008,RES-00015,2025-10-01,2950,2950,2025-10-02,0,paid
PAY-0000242,LSE-000019,PROP-00008,RES-00015,2025-11-01,2950,2950,2025-11-01,0,paid
PAY-0000243,LSE-000019,PROP-00008,RES-00015,2025-12-01,2950,2950,2025-12-02,0,paid
PAY-0000244,LSE-000019,PROP-00008,RES-00015,2026-01-01,2950,2950,2026-01-08,7,late
PAY-0000245,LSE-000019,PROP-00008,RES-00015,2026-02-01,2950,2950,2026-02-02,0,paid
PAY-0000246,LSE-000019,PROP-00008,RES-00015,2026-03-01,2950,2950,2026-03-01,0,paid
PAY-0000247,LSE-000019,PROP-00008,RES-00015,2026-04-01,2950,2950,2026-04-02,0,paid
PAY-0000248,LSE-000019,PROP-00008,RES-00015,2026-05-01,2950,2950,2026-05-01,0,paid
PAY-0000249,LSE-000019,PROP-00008,RES-00015,2026-06-01,2950,2950,2026-06-03,0,paid
PAY-0000250,LSE-000019,PROP-00008,RES-00015,2026-07-01,2950,2950,2026-07-03,0,paid
PAY-0000251,LSE-000019,PROP-00008,RES-00015,2026-08-01,2950,2950,2026-08-01,0,paid
PAY-0000252,LSE-000019,PROP-00008,RES-00015,2026-09-01,2950,2950,2026-09-03,0,paid
PAY-0000253,LSE-000020,PROP-00009,RES-00016,2023-10-01,3015,3015,2023-10-03,0,paid
PAY-0000254,LSE-000020,PROP-00009,RES-00016,2023-11-01,3015,3015,2023-11-01,0,paid
PAY-0000255,LSE-000020,PROP-00009,RES-00016,2023-12-01,3015,3015,2023-12-01,0,paid
PAY-0000256,LSE-000020,PROP-00009,RES-00016,2024-01-01,3015,3015,2024-01-01,0,paid
PAY-0000257,LSE-000021,PROP-00009,RES-00016,2024-02-01,3135,3135,2024-02-01,0,paid
PAY-0000258,LSE-000021,PROP-00009,RES-00016,2024-03-01,3135,3135,2024-03-03,0,paid
PAY-0000259,LSE-000021,PROP-00009,RES-00016,2024-04-01,3135,3135,2024-04-01,0,paid
PAY-0000260,LSE-000021,PROP-00009,RES-00016,2024-05-01,3135,3135,2024-05-20,19,late
PAY-0000261,LSE-000021,PROP-00009,RES-00016,2024-06-01,3135,3135,2024-06-01,0,paid
PAY-0000262,LSE-000021,PROP-00009,RES-00016,2024-07-01,3135,3135,2024-07-02,0,paid
PAY-0000263,LSE-000021,PROP-00009,RES-00016,2024-08-01,3135,3135,2024-08-16,15,late
